len(N),E,ns
8,-8,58.6
8,-7,61.4
8,-6,58.6
8,-5,55.8
8,-4,54.4
8,-3,68.0
8,-2,73.2
8,-1,69.7
8,0,24.0
8,1,24.5
8,2,26.7
8,3,28.9
8,4,31.5
8,5,33.8
8,6,36.8
8,7,39.9
8,8,43.9
8,9,43.5
8,10,40.8
8,11,38.5
8,12,199
8,13,122
8,14,75.0
8,15,62.8
8,16,58.6
8,17,56.2
8,18,53.1
8,19,50.2
8,20,48.4
8,21,58.6
8,22,62.8
9,-22,56.2
9,-21,53.1
9,-20,61.4
9,-19,68.3
9,-18,64.5
9,-17,64.2
9,-16,61.4
9,-15,59.4
9,-14,54.4
9,-13,51.5
9,-12,68.0
9,-11,68.0
9,-10,65.6
9,-9,62.8
9,-8,64.5
9,-7,62.8
9,-6,62.8
9,-5,58.6
9,-4,69.7
9,-3,75.0
9,-2,73.2
9,-1,68.0
9,0,26.7
9,1,27.3
9,2,28.9
9,3,30.7
9,4,32.9
9,5,35.3
9,6,38.4
9,7,43.0
9,8,48.4
9,9,45.5
9,10,71.5
9,11,184
9,12,94.1
9,13,73.2
9,14,66.9
9,15,62.8
9,16,61.4
9,17,58.6
9,18,56.2
9,19,51.6
9,20,58.6
9,21,69.7
9,22,65.6
10,-22,61.4
10,-21,66.9
10,-20,76.7
10,-19,73.9
10,-18,71.1
10,-17,68.3
10,-16,65.6
10,-15,61.4
10,-14,60.0
10,-13,68.0
10,-12,73.2
10,-11,71.1
10,-10,69.7
10,-9,73.2
10,-8,71.1
10,-7,69.7
10,-6,68.0
10,-5,76.7
10,-4,83.7
10,-3,80.2
10,-2,75.0
10,-1,75.3
10,0,30.7
10,1,32.2
10,2,35.3
10,3,38.4
10,4,41.4
10,5,44.5
10,6,50.0
10,7,58.6
10,8,55.8
10,9,249
10,10,153
10,11,83.7
10,12,76.7
10,13,73.2
10,14,71.5
10,15,68.3
10,16,66.9
10,17,64.2
10,18,61.0
10,19,64.5
10,20,75.0
10,21,73.2
10,22,69.7
11,-22,66.2
11,-21,85.4
11,-20,71.1
11,-19,68.0
11,-18,65.6
11,-17,62.8
11,-16,58.6
11,-15,57.2
11,-14,71.5
11,-13,71.9
11,-12,69.7
11,-11,66.9
11,-10,71.5
11,-9,68.0
11,-8,68.3
11,-7,65.6
11,-6,75.0
11,-5,81.9
11,-4,78.5
11,-3,71.5
11,-2,71.5
11,-1,71.1
11,0,26.1
11,1,28.9
11,2,30.5
11,3,33.0
11,4,36.1
11,5,41.4
11,6,55.8
11,7,53.0
11,8,230
11,9,107
11,10,76.7
11,11,75.0
11,12,71.5
11,13,68.3
11,14,66.2
11,15,62.8
11,16,61.4
11,17,58.6
11,18,64.2
11,19,73.2
11,20,71.1
11,21,68.0
11,22,66.9
12,-22,75.0
12,-21,73.2
12,-20,69.7
12,-19,68.0
12,-18,66.2
12,-17,61.4
12,-16,60.0
12,-15,73.2
12,-14,73.2
12,-13,71.5
12,-12,68.0
12,-11,71.5
12,-10,71.1
12,-9,69.7
12,-8,65.6
12,-7,78.5
12,-6,83.7
12,-5,81.9
12,-4,75.0
12,-3,73.9
12,-2,71.5
12,-1,72.5
12,0,26.1
12,1,27.8
12,2,29.8
12,3,33.0
12,4,38.5
12,5,57.2
12,6,230
12,7,195
12,8,78.5
12,9,75.0
12,10,75.0
12,11,73.2
12,12,69.7
12,13,68.3
12,14,65.6
12,15,64.2
12,16,61.4
12,17,66.9
12,18,76.7
12,19,73.2
12,20,69.7
12,21,69.7
12,22,65.6
13,-22,77.4
13,-21,73.2
13,-20,71.5
13,-19,69.7
13,-18,65.6
13,-17,64.2
13,-16,76.7
13,-15,78.5
13,-14,75.0
13,-13,73.2
13,-12,76.7
13,-11,76.7
13,-10,73.2
13,-9,71.5
13,-8,83.7
13,-7,88.9
13,-6,85.4
13,-5,78.5
13,-4,76.7
13,-3,75.0
13,-2,75.0
13,-1,73.2
13,0,27.6
13,1,29.8
13,2,32.2
13,3,38.4
13,4,62.8
13,5,261
13,6,134
13,7,76.7
13,8,76.7
13,9,80.2
13,10,76.7
13,11,75.0
13,12,72.5
13,13,69.7
13,14,67.2
13,15,64.5
13,16,69.7
13,17,78.5
13,18,76.7
13,19,75.0
13,20,71.5
13,21,69.7
13,22,66.9
14,-22,76.7
14,-21,75.0
14,-20,71.5
14,-19,68.0
14,-18,65.6
14,-17,81.9
14,-16,80.2
14,-15,78.5
14,-14,76.7
14,-13,80.2
14,-12,78.5
14,-11,76.7
14,-10,75.3
14,-9,85.8
14,-8,90.3
14,-7,87.9
14,-6,81.9
14,-5,79.5
14,-4,78.5
14,-3,78.5
14,-2,75.0
14,-1,92.1
14,0,27.6
14,1,32.1
14,2,36.8
14,3,199
14,4,220
14,5,100
14,6,72.5
14,7,76.7
14,8,83.7
14,9,80.2
14,10,78.5
14,11,75.0
14,12,73.2
14,13,71.5
14,14,68.0
14,15,73.2
14,16,83.7
14,17,79.5
14,18,78.5
14,19,76.7
14,20,73.2
14,21,71.5
14,22,68.0
15,-22,78.5
15,-21,76.7
15,-20,71.5
15,-19,68.0
15,-18,83.7
15,-17,83.7
15,-16,81.6
15,-15,78.5
15,-14,81.6
15,-13,80.2
15,-12,80.2
15,-11,76.7
15,-10,87.9
15,-9,92.1
15,-8,92.0
15,-7,83.7
15,-6,81.6
15,-5,80.2
15,-4,80.2
15,-3,78.5
15,-2,94.1
15,-1,94.2
15,0,29.1
15,1,36.8
15,2,307
15,3,167
15,4,87.9
15,5,73.2
15,6,80.2
15,7,85.8
15,8,81.6
15,9,80.2
15,10,79.5
15,11,75.0
15,12,73.2
15,13,71.1
15,14,75.0
15,15,85.8
15,16,83.7
15,17,79.5
15,18,77.4
15,19,75.3
15,20,73.2
15,21,71.5
15,22,83.7
16,-22,80.2
16,-21,78.5
16,-20,75.0
16,-19,87.9
16,-18,90.0
16,-17,87.9
16,-16,83.7
16,-15,88.9
16,-14,87.9
16,-13,85.8
16,-12,83.7
16,-11,90.3
16,-10,97.6
16,-9,96.2
16,-8,92.1
16,-7,87.9
16,-6,85.8
16,-5,87.2
16,-4,100
16,-3,97.6
16,-2,123
16,-1,245
16,0,35.3
16,1,270
16,2,120
16,3,85.4
16,4,76.7
16,5,85.8
16,6,90.0
16,7,90.0
16,8,87.9
16,9,81.6
16,10,81.6
16,11,80.2
16,12,76.7
16,13,80.2
16,14,92.1
16,15,87.9
16,16,85.8
16,17,83.7
16,18,81.6
16,19,78.5
16,20,78.5
16,21,90.0
16,22,90.0
17,-22,87.9
17,-21,83.7
17,-20,90.0
17,-19,100
17,-18,96.2
17,-17,92.0
17,-16,100
17,-15,98.3
17,-14,92.8
17,-13,92.1
17,-12,105
17,-11,105
17,-10,105
17,-9,100
17,-8,92.8
17,-7,94.1
17,-6,95.2
17,-5,92.0
17,-4,105
17,-3,129
17,-2,213
17,-1,105
17,0,307
17,1,117
17,2,87.2
17,3,87.9
17,4,92.1
17,5,97.6
17,6,100
17,7,95.2
17,8,90.0
17,9,92.1
17,10,90.0
17,11,83.7
17,12,92.1
17,13,100
17,14,94.1
17,15,94.1
17,16,90.3
17,17,87.9
17,18,85.8
17,19,85.8
17,20,94.1
17,21,100
17,22,100
18,-22,81.6
18,-21,90.0
18,-20,100
18,-19,98.3
18,-18,90.0
18,-17,100
18,-16,96.2
18,-15,90.0
18,-14,92.1
18,-13,100
18,-12,105
18,-11,107
18,-10,98.3
18,-9,95.2
18,-8,96.2
18,-7,94.1
18,-6,92.1
18,-5,105
18,-4,132
18,-3,225
18,-2,110
18,-1,315
18,0,132
18,1,85.4
18,2,87.9
18,3,92.1
18,4,98.3
18,5,100
18,6,96.2
18,7,90.0
18,8,92.0
18,9,88.9
18,10,83.7
18,11,94.1
18,12,100
18,13,94.1
18,14,95.9
18,15,92.8
18,16,87.9
18,17,85.8
18,18,87.9
18,19,96.2
18,20,103
18,21,98.3
18,22,94.2
