len(N),E,ns
8,2,30.8
8,3,33.8
8,4,37.2
8,5,40.5
8,6,42.9
8,7,45.6
8,8,53.1
8,9,83.8
8,10,86.8
8,11,110
8,12,110
8,13,98.7
8,14,92.2
8,15,90.1
8,16,92.3
8,17,92.1
8,18,90.0
8,19,94.2
8,20,92.1
8,21,90.1
8,22,96.3
9,-22,78.5
9,-21,76.8
9,-20,76.3
9,-19,78.5
9,-18,78.2
9,-17,78.7
9,-16,80.2
9,-15,78.9
9,-14,76.9
9,-13,80.3
9,-12,78.6
9,-11,77.5
9,-10,80.4
9,-9,78.7
9,-8,76.9
9,-7,78.7
9,-6,77.7
9,-5,76.7
9,-4,80.3
9,-3,78.6
9,-2,76.8
9,-1,81.7
9,0,25.5
9,1,27.6
9,2,31.4
9,3,34.6
9,4,37.8
9,5,41.5
9,6,44.0
9,7,51.6
9,8,81.7
9,9,83.9
9,10,105
9,11,97.6
9,12,94.6
9,13,90.1
9,14,88.0
9,15,90.3
9,16,90.0
9,17,88.1
9,18,92.2
9,19,90.1
9,20,90.0
9,21,95.2
9,22,90.1
10,-22,80.2
10,-21,79.5
10,-20,80.3
10,-19,80.3
10,-18,79.6
10,-17,80.2
10,-16,80.3
10,-15,80.4
10,-14,79.7
10,-13,81.6
10,-12,80.7
10,-11,80.4
10,-10,82.0
10,-9,81.4
10,-8,80.4
10,-7,80.6
10,-6,79.6
10,-5,81.1
10,-4,80.3
10,-3,80.4
10,-2,81.4
10,-1,83.8
10,0,34.5
10,1,36.9
10,2,39.8
10,3,43.1
10,4,46.1
10,5,48.7
10,6,57.2
10,7,84.0
10,8,88.0
10,9,103
10,10,96.4
10,11,93.4
10,12,92.1
10,13,92.2
10,14,92.1
10,15,92.1
10,16,92.1
10,17,90.5
10,18,92.2
10,19,92.2
10,20,95.5
10,21,92.4
10,22,92.0
11,-22,73.4
11,-21,75.0
11,-20,73.4
11,-19,72.7
11,-18,75.1
11,-17,73.9
11,-16,72.8
11,-15,75.1
11,-14,73.4
11,-13,83.7
11,-12,75.1
11,-11,74.0
11,-10,75.0
11,-9,76.8
11,-8,75.3
11,-7,75.0
11,-6,76.7
11,-5,75.0
11,-4,75.1
11,-3,76.8
11,-2,76.2
11,-1,76.9
11,0,28.5
11,1,31.4
11,2,34.5
11,3,37.6
11,4,40.2
11,5,48.8
11,6,76.7
11,7,83.7
11,8,90.1
11,9,88.1
11,10,89.0
11,11,87.5
11,12,85.8
11,13,88.0
11,14,87.2
11,15,85.8
11,16,87.9
11,17,87.2
11,18,85.8
11,19,92.1
11,20,88.4
11,21,85.8
11,22,92.2
12,-22,73.3
12,-21,73.9
12,-20,70.0
12,-19,73.3
12,-18,71.5
12,-17,71.1
12,-16,73.1
12,-15,71.6
12,-14,71.5
12,-13,73.5
12,-12,71.5
12,-11,71.6
12,-10,75.0
12,-9,71.6
12,-8,71.3
12,-7,76.3
12,-6,71.8
12,-5,72.2
12,-4,75.2
12,-3,73.2
12,-2,71.5
12,-1,76.8
12,0,29.9
12,1,32.1
12,2,35.3
12,3,38.0
12,4,45.1
12,5,73.4
12,6,83.7
12,7,85.9
12,8,83.8
12,9,85.8
12,10,83.8
12,11,83.7
12,12,85.8
12,13,84.0
12,14,83.0
12,15,85.5
12,16,84.1
12,17,83.3
12,18,90.0
12,19,83.7
12,20,83.7
12,21,87.9
12,22,85.8
13,-22,69.8
13,-21,69.8
13,-20,71.2
13,-19,71.2
13,-18,69.7
13,-17,71.5
13,-16,71.2
13,-15,70.0
13,-14,72.6
13,-13,70.2
13,-12,69.8
13,-11,71.3
13,-10,69.8
13,-9,69.7
13,-8,71.6
13,-7,70.7
13,-6,69.8
13,-5,71.9
13,-4,71.1
13,-3,69.7
13,-2,72.7
13,-1,73.3
13,0,30.7
13,1,34.5
13,2,37.7
13,3,45.5
13,4,74.0
13,5,85.4
13,6,85.8
13,7,83.8
13,8,83.9
13,9,82.2
13,10,81.9
13,11,84.1
13,12,82.1
13,13,81.9
13,14,83.8
13,15,82.0
13,16,81.8
13,17,87.3
13,18,83.7
13,19,82.0
13,20,85.8
13,21,86.6
13,22,85.9
14,-22,68.4
14,-21,69.8
14,-20,68.3
14,-19,68.5
14,-18,69.8
14,-17,69.8
14,-16,68.2
14,-15,71.5
14,-14,68.3
14,-13,68.4
14,-12,69.7
14,-11,68.0
14,-10,68.1
14,-9,69.8
14,-8,69.4
14,-7,68.0
14,-6,71.2
14,-5,69.7
14,-4,68.4
14,-3,70.5
14,-2,69.8
14,-1,69.8
14,0,32.2
14,1,34.6
14,2,42.0
14,3,76.3
14,4,82.0
14,5,85.9
14,6,82.1
14,7,81.6
14,8,80.5
14,9,79.7
14,10,81.8
14,11,80.3
14,12,80.4
14,13,82.2
14,14,81.0
14,15,80.4
14,16,85.8
14,17,81.7
14,18,79.6
14,19,83.8
14,20,83.9
14,21,83.8
14,22,85.4
15,-22,68.0
15,-21,67.1
15,-20,65.7
15,-19,68.5
15,-18,67.1
15,-17,66.4
15,-16,68.1
15,-15,66.4
15,-14,66.4
15,-13,68.4
15,-12,67.2
15,-11,66.3
15,-10,68.5
15,-9,66.4
15,-8,67.0
15,-7,69.1
15,-6,68.4
15,-5,66.4
15,-4,68.0
15,-3,67.0
15,-2,67.0
15,-1,71.5
15,0,34.5
15,1,41.5
15,2,75.8
15,3,80.2
15,4,81.6
15,5,79.5
15,6,80.3
15,7,79.5
15,8,78.5
15,9,79.5
15,10,78.5
15,11,78.5
15,12,79.7
15,13,79.5
15,14,78.5
15,15,83.7
15,16,80.3
15,17,78.5
15,18,82.0
15,19,81.7
15,20,81.6
15,21,83.8
15,22,81.7
16,-22,65.6
16,-21,65.6
16,-20,67.0
16,-19,65.6
16,-18,65.6
16,-17,67.2
16,-16,65.7
16,-15,64.3
16,-14,66.5
16,-13,66.3
16,-12,64.5
16,-11,67.1
16,-10,66.3
16,-9,64.7
16,-8,68.0
16,-7,66.3
16,-6,64.5
16,-5,67.2
16,-4,65.8
16,-3,65.6
16,-2,71.4
16,-1,75.1
16,0,39.9
16,1,73.3
16,2,76.8
16,3,80.3
16,4,78.0
16,5,78.5
16,6,77.0
16,7,76.8
16,8,79.3
16,9,76.8
16,10,76.8
16,11,78.8
16,12,76.9
16,13,76.6
16,14,83.7
16,15,78.9
16,16,76.8
16,17,79.5
16,18,80.7
16,19,79.5
16,20,82.0
16,21,80.5
16,22,76.9
17,-22,68.5
17,-21,70.0
17,-20,68.6
17,-19,68.4
17,-18,69.9
17,-17,68.4
17,-16,68.1
17,-15,69.8
17,-14,67.9
17,-13,68.4
17,-12,69.8
17,-11,68.3
17,-10,68.4
17,-9,69.8
17,-8,68.1
17,-7,68.4
17,-6,69.7
17,-5,69.7
17,-4,68.5
17,-3,71.7
17,-2,74.2
17,-1,51.6
17,0,75.0
17,1,78.5
17,2,81.8
17,3,80.4
17,4,82.0
17,5,79.5
17,6,80.3
17,7,82.0
17,8,80.2
17,9,80.3
17,10,82.0
17,11,80.4
17,12,80.4
17,13,85.5
17,14,81.5
17,15,80.2
17,16,82.8
17,17,83.8
17,18,83.7
17,19,83.7
17,20,81.6
17,21,80.4
17,22,82.0
18,-22,69.8
18,-21,68.5
18,-20,68.5
18,-19,68.1
18,-18,68.6
18,-17,68.1
18,-16,69.8
18,-15,68.0
18,-14,68.1
18,-13,69.8
18,-12,68.4
18,-11,68.1
18,-10,69.8
18,-9,68.5
18,-8,68.4
18,-7,69.9
18,-6,69.4
18,-5,67.8
18,-4,72.6
18,-3,75.0
18,-2,51.7
18,-1,75.0
18,0,79.1
18,1,80.8
18,2,80.9
18,3,82.0
18,4,79.5
18,5,80.2
18,6,82.1
18,7,80.3
18,8,79.5
18,9,82.0
18,10,79.9
18,11,80.3
18,12,85.8
18,13,80.4
18,14,80.3
18,15,83.4
18,16,81.8
18,17,83.8
18,18,83.7
18,19,83.7
18,20,80.2
18,21,82.0
18,22,69.8
