len(N),E,ns
8,-9,54.9
8,-8,54.4
8,-7,60.0
8,-6,65.7
8,-5,63.0
8,-4,62.6
8,-3,65.9
8,-2,64.2
8,-1,65.8
8,0,31.4
8,1,35.3
8,2,32.3
8,3,33.1
8,4,30.8
8,5,32.1
8,6,32.6
8,7,33.0
8,8,34.6
8,9,46.1
8,10,45.5
8,11,51.7
8,12,68.0
8,13,63.1
8,14,61.5
8,15,60.1
8,16,61.6
8,17,60.1
8,18,58.7
8,19,61.5
8,20,60.3
8,21,60.0
8,22,61.5
9,-22,57.9
9,-21,56.4
9,-20,55.9
9,-19,57.3
9,-18,56.2
9,-17,58.7
9,-16,57.5
9,-15,56.0
9,-14,53.2
9,-13,56.1
9,-12,54.7
9,-11,53.2
9,-10,55.9
9,-9,54.8
9,-8,61.4
9,-7,64.6
9,-6,62.9
9,-5,64.2
9,-4,67.0
9,-3,65.7
9,-2,64.6
9,-1,62.9
9,0,32.2
9,1,33.0
9,2,33.9
9,3,35.4
9,4,32.2
9,5,33.7
9,6,34.4
9,7,38.4
9,8,46.2
9,9,46.0
9,10,54.6
9,11,65.6
9,12,61.6
9,13,61.8
9,14,60.0
9,15,62.9
9,16,61.4
9,17,60.2
9,18,62.9
9,19,61.4
9,20,60.1
9,21,62.9
9,22,61.7
10,-22,58.6
10,-21,58.6
10,-20,58.9
10,-19,59.4
10,-18,63.0
10,-17,59.4
10,-16,60.0
10,-15,57.3
10,-14,57.3
10,-13,57.6
10,-12,57.9
10,-11,57.2
10,-10,57.2
10,-9,64.3
10,-8,64.6
10,-7,65.6
10,-6,66.3
10,-5,67.1
10,-4,67.2
10,-3,68.5
10,-2,64.2
10,-1,66.4
10,0,39.3
10,1,41.0
10,2,40.9
10,3,44.0
10,4,39.3
10,5,40.8
10,6,44.5
10,7,56.0
10,8,51.6
10,9,68.3
10,10,64.5
10,11,62.8
10,12,64.3
10,13,64.2
10,14,64.2
10,15,64.2
10,16,64.3
10,17,63.8
10,18,64.2
10,19,64.2
10,20,64.4
10,21,63.6
10,22,64.3
11,-22,61.3
11,-21,63.0
11,-20,62.3
11,-19,65.6
11,-18,64.3
11,-17,62.9
11,-16,60.1
11,-15,61.6
11,-14,61.1
11,-13,60.1
11,-12,61.1
11,-11,61.4
11,-10,68.4
11,-9,69.9
11,-8,68.3
11,-7,66.6
11,-6,70.0
11,-5,71.5
11,-4,71.3
11,-3,69.8
11,-2,68.4
11,-1,69.9
11,0,34.6
11,1,35.3
11,2,36.8
11,3,38.4
11,4,34.5
11,5,39.3
11,6,51.7
11,7,54.4
11,8,69.8
11,9,65.6
11,10,65.6
11,11,76.8
11,12,64.6
11,13,67.1
11,14,66.3
11,15,65.6
11,16,67.0
11,17,65.7
11,18,64.6
11,19,66.3
11,20,65.9
11,21,65.6
11,22,66.4
12,-22,62.9
12,-21,62.9
12,-20,64.4
12,-19,64.6
12,-18,65.8
12,-17,58.7
12,-16,61.4
12,-15,60.1
12,-14,58.8
12,-13,61.5
12,-12,60.1
12,-11,66.7
12,-10,69.9
12,-9,68.2
12,-8,68.1
12,-7,71.6
12,-6,70.0
12,-5,70.0
12,-4,68.7
12,-3,68.4
12,-2,68.1
12,-1,71.7
12,0,33.8
12,1,35.5
12,2,36.1
12,3,38.6
12,4,37.6
12,5,50.3
12,6,58.7
12,7,66.3
12,8,62.7
12,9,64.7
12,10,65.7
12,11,64.3
12,12,65.7
12,13,64.7
12,14,63.0
12,15,67.0
12,16,65.6
12,17,65.0
12,18,66.5
12,19,65.7
12,20,64.5
12,21,66.4
12,22,65.6
13,-22,62.8
13,-21,64.3
13,-20,64.2
13,-19,62.2
13,-18,60.0
13,-17,62.8
13,-16,61.5
13,-15,60.0
13,-14,62.9
13,-13,61.5
13,-12,65.8
13,-11,69.9
13,-10,71.3
13,-9,69.0
13,-8,73.4
13,-7,71.5
13,-6,70.0
13,-5,69.8
13,-4,69.8
13,-3,69.9
13,-2,71.6
13,-1,73.2
13,0,36.1
13,1,38.4
13,2,38.4
13,3,43.9
13,4,54.8
13,5,64.3
13,6,68.6
13,7,64.3
13,8,65.8
13,9,65.6
13,10,64.6
13,11,66.5
13,12,65.6
13,13,64.7
13,14,67.0
13,15,64.6
13,16,64.5
13,17,68.0
13,18,64.8
13,19,64.5
13,20,67.1
13,21,65.7
13,22,64.8
14,-22,62.6
14,-21,61.6
14,-20,61.5
14,-19,58.6
14,-18,60.1
14,-17,58.7
14,-16,57.7
14,-15,60.1
14,-14,58.7
14,-13,65.7
14,-12,68.4
14,-11,68.6
14,-10,68.2
14,-9,69.8
14,-8,69.9
14,-7,69.8
14,-6,66.5
14,-5,66.3
14,-4,68.0
14,-3,71.2
14,-2,68.9
14,-1,71.3
14,0,36.2
14,1,37.7
14,2,41.6
14,3,60.2
14,4,62.8
14,5,68.2
14,6,62.9
14,7,64.3
14,8,64.6
14,9,64.2
14,10,65.7
14,11,64.3
14,12,64.2
14,13,65.6
14,14,64.5
14,15,64.3
14,16,65.6
14,17,64.3
14,18,63.0
14,19,66.3
14,20,64.6
14,21,64.2
14,22,66.4
15,-22,65.7
15,-21,64.4
15,-20,60.3
15,-19,63.0
15,-18,61.5
15,-17,61.4
15,-16,63.0
15,-15,61.5
15,-14,68.8
15,-13,69.8
15,-12,69.9
15,-11,69.9
15,-10,72.0
15,-9,71.2
15,-8,71.3
15,-7,70.1
15,-6,68.2
15,-5,68.6
15,-4,73.5
15,-3,71.6
15,-2,72.6
15,-1,75.5
15,0,38.4
15,1,43.4
15,2,63.1
15,3,65.6
15,4,69.8
15,5,65.6
15,6,65.8
15,7,66.3
15,8,66.2
15,9,67.9
15,10,67.1
15,11,66.3
15,12,67.3
15,13,67.1
15,14,66.7
15,15,68.0
15,16,67.0
15,17,67.1
15,18,68.0
15,19,66.4
15,20,67.1
15,21,68.0
15,22,67.0
16,-22,64.5
16,-21,61.4
16,-20,64.2
16,-19,61.8
16,-18,61.5
16,-17,66.5
16,-16,61.9
16,-15,68.4
16,-14,72.6
16,-13,71.2
16,-12,70.0
16,-11,75.1
16,-10,72.6
16,-9,71.4
16,-8,70.4
16,-7,69.9
16,-6,70.1
16,-5,73.6
16,-4,71.6
16,-3,71.5
16,-2,78.6
16,-1,79.9
16,0,42.4
16,1,64.2
16,2,62.8
16,3,68.4
16,4,66.4
16,5,67.1
16,6,67.1
16,7,66.4
16,8,69.8
16,9,68.4
16,10,67.1
16,11,69.8
16,12,68.4
16,13,67.1
16,14,69.7
16,15,68.1
16,16,67.0
16,17,69.8
16,18,68.5
16,19,67.1
16,20,71.3
16,21,68.6
16,22,67.3
17,-22,66.7
17,-21,66.3
17,-20,65.8
17,-19,64.6
17,-18,67.0
17,-17,65.9
17,-16,73.3
17,-15,73.4
17,-14,73.5
17,-13,75.3
17,-12,77.5
17,-11,75.3
17,-10,75.0
17,-9,75.0
17,-8,73.3
17,-7,75.1
17,-6,76.9
17,-5,76.7
17,-4,76.8
17,-3,80.3
17,-2,79.5
17,-1,54.7
17,0,68.0
17,1,68.3
17,2,74.1
17,3,69.7
17,4,69.9
17,5,70.9
17,6,69.8
17,7,73.3
17,8,71.2
17,9,71.3
17,10,72.6
17,11,71.2
17,12,69.7
17,13,71.7
17,14,71.5
17,15,69.9
17,16,71.8
17,17,71.6
17,18,69.9
17,19,71.5
17,20,71.5
17,21,71.2
17,22,72.6
18,-22,67.1
18,-21,66.3
18,-20,67.1
18,-19,67.2
18,-18,66.4
18,-17,71.6
18,-16,73.4
18,-15,72.9
18,-14,73.4
18,-13,78.7
18,-12,77.0
18,-11,75.4
18,-10,72.9
18,-9,73.3
18,-8,74.0
18,-7,76.7
18,-6,77.0
18,-5,75.2
18,-4,80.4
18,-3,79.6
18,-2,54.8
18,-1,68.3
18,0,70.0
18,1,73.6
