len(N),E,ns
8,-9,55.8
8,-8,54.5
8,-7,61.7
8,-6,66.3
8,-5,64.2
8,-4,63.6
8,-3,65.6
8,-2,66.3
8,-1,66.3
8,0,31.3
8,1,32.1
8,2,32.9
8,3,33.0
8,4,31.4
8,5,32.1
8,6,32.2
8,7,33.7
8,8,35.3
8,9,54.4
8,10,53.2
8,11,55.6
8,12,64.2
8,13,58.8
8,14,58.4
8,15,55.9
8,16,58.7
8,17,57.2
8,18,55.8
8,19,58.7
8,20,57.2
8,21,56.3
8,22,58.6
9,-22,58.6
9,-21,57.2
9,-20,55.8
9,-19,58.6
9,-18,57.2
9,-17,58.7
9,-16,59.0
9,-15,57.5
9,-14,54.7
9,-13,56.5
9,-12,55.0
9,-11,53.8
9,-10,57.2
9,-9,54.7
9,-8,61.1
9,-7,65.6
9,-6,64.6
9,-5,62.8
9,-4,67.1
9,-3,67.3
9,-2,67.0
9,-1,66.7
9,0,32.1
9,1,33.8
9,2,34.5
9,3,36.0
9,4,32.2
9,5,33.8
9,6,33.7
9,7,39.1
9,8,54.4
9,9,54.5
9,10,57.3
9,11,62.8
9,12,58.7
9,13,58.6
9,14,57.5
9,15,60.0
9,16,58.6
9,17,57.7
9,18,60.1
9,19,58.7
9,20,57.3
9,21,60.0
9,22,58.7
10,-22,58.8
10,-21,60.0
10,-20,60.0
10,-19,58.7
10,-18,62.9
10,-17,60.0
10,-16,60.2
10,-15,58.4
10,-14,58.7
10,-13,57.8
10,-12,61.0
10,-11,58.6
10,-10,57.3
10,-9,67.0
10,-8,67.2
10,-7,68.0
10,-6,66.4
10,-5,68.0
10,-4,69.7
10,-3,69.9
10,-2,64.6
10,-1,68.2
10,0,39.9
10,1,42.4
10,2,42.4
10,3,45.6
10,4,39.9
10,5,41.4
10,6,46.5
10,7,62.8
10,8,60.1
10,9,67.1
10,10,62.8
10,11,60.0
10,12,61.4
10,13,61.6
10,14,61.4
10,15,61.5
10,16,61.5
10,17,61.4
10,18,61.4
10,19,61.6
10,20,61.4
10,21,61.4
10,22,61.5
11,-22,60.0
11,-21,61.5
11,-20,61.0
11,-19,64.2
11,-18,62.8
11,-17,61.5
11,-16,58.8
11,-15,61.4
11,-14,60.1
11,-13,60.0
11,-12,61.4
11,-11,60.5
11,-10,66.0
11,-9,68.4
11,-8,68.7
11,-7,68.3
11,-6,71.5
11,-5,71.1
11,-4,69.8
11,-3,68.4
11,-2,68.5
11,-1,68.1
11,0,34.6
11,1,36.0
11,2,36.9
11,3,38.7
11,4,34.7
11,5,39.9
11,6,58.6
11,7,68.1
11,8,69.8
11,9,62.8
11,10,61.7
11,11,63.1
11,12,62.8
11,13,64.3
11,14,62.8
11,15,62.8
11,16,65.7
11,17,63.0
11,18,62.9
11,19,64.6
11,20,62.8
11,21,62.8
11,22,64.6
12,-22,62.8
12,-21,61.4
12,-20,62.8
12,-19,62.8
12,-18,61.6
12,-17,57.2
12,-16,60.1
12,-15,59.4
12,-14,57.3
12,-13,61.1
12,-12,60.0
12,-11,66.9
12,-10,68.3
12,-9,68.1
12,-8,67.0
12,-7,72.5
12,-6,71.5
12,-5,70.0
12,-4,69.8
12,-3,68.5
12,-2,69.8
12,-1,75.3
12,0,34.5
12,1,36.0
12,2,39.2
12,3,39.2
12,4,38.4
12,5,57.5
12,6,66.3
12,7,68.2
12,8,61.4
12,9,62.8
12,10,62.8
12,11,61.5
12,12,62.8
12,13,62.8
12,14,61.4
12,15,64.2
12,16,62.8
12,17,61.0
12,18,62.8
12,19,62.8
12,20,61.4
12,21,63.7
12,22,61.1
13,-22,61.4
13,-21,64.2
13,-20,64.2
13,-19,61.4
13,-18,60.0
13,-17,60.9
13,-16,59.6
13,-15,60.0
13,-14,61.4
13,-13,60.0
13,-12,65.6
13,-11,69.8
13,-10,68.2
13,-9,68.0
13,-8,70.0
13,-7,69.9
13,-6,71.5
13,-5,68.4
13,-4,69.1
13,-3,68.0
13,-2,73.2
13,-1,74.0
13,0,36.9
13,1,37.7
13,2,39.3
13,3,44.0
13,4,61.4
13,5,71.5
13,6,71.5
13,7,62.8
13,8,62.8
13,9,64.3
13,10,62.8
13,11,64.5
13,12,62.8
13,13,62.8
13,14,64.6
13,15,62.8
13,16,62.8
13,17,64.4
13,18,63.2
13,19,62.8
13,20,64.3
13,21,62.9
13,22,62.8
14,-22,61.1
14,-21,62.8
14,-20,61.0
14,-19,58.1
14,-18,60.0
14,-17,58.6
14,-16,57.2
14,-15,60.0
14,-14,59.4
14,-13,65.0
14,-12,68.2
14,-11,68.4
14,-10,68.4
14,-9,71.5
14,-8,69.9
14,-7,69.8
14,-6,68.0
14,-5,68.4
14,-4,66.3
14,-3,71.5
14,-2,71.1
14,-1,71.5
14,0,36.0
14,1,38.4
14,2,43.3
14,3,68.4
14,4,69.8
14,5,71.6
14,6,61.4
14,7,61.4
14,8,61.2
14,9,61.4
14,10,63.2
14,11,61.6
14,12,61.1
14,13,63.0
14,14,61.1
14,15,61.4
14,16,62.9
14,17,62.8
14,18,61.4
14,19,64.2
14,20,62.8
14,21,61.4
14,22,64.2
15,-22,65.6
15,-21,64.3
15,-20,61.4
15,-19,62.8
15,-18,61.4
15,-17,61.4
15,-16,62.9
15,-15,61.5
15,-14,69.9
15,-13,69.8
15,-12,71.1
15,-11,71.6
15,-10,75.0
15,-9,71.5
15,-8,71.5
15,-7,69.9
15,-6,69.8
15,-5,69.9
15,-4,75.4
15,-3,74.0
15,-2,71.5
15,-1,75.0
15,0,37.6
15,1,43.0
15,2,71.6
15,3,73.3
15,4,72.7
15,5,64.2
15,6,64.2
15,7,64.6
15,8,64.2
15,9,66.4
15,10,65.6
15,11,64.6
15,12,65.6
15,13,64.5
15,14,64.5
15,15,67.0
15,16,64.7
15,17,64.2
15,18,67.0
15,19,65.6
15,20,65.2
15,21,66.4
15,22,67.2
16,-22,63.1
16,-21,60.0
16,-20,64.3
16,-19,61.5
16,-18,61.4
16,-17,62.9
16,-16,61.5
16,-15,69.9
16,-14,71.4
16,-13,75.2
16,-12,69.9
16,-11,73.4
16,-10,73.4
16,-9,71.7
16,-8,71.6
16,-7,69.8
16,-6,69.9
16,-5,72.8
16,-4,71.6
16,-3,72.9
16,-2,78.6
16,-1,82.4
16,0,42.4
16,1,71.5
16,2,71.3
16,3,71.8
16,4,64.6
16,5,64.3
16,6,64.3
16,7,65.1
16,8,66.3
16,9,64.7
16,10,64.2
16,11,67.0
16,12,64.5
16,13,64.2
16,14,66.4
16,15,65.6
16,16,64.6
16,17,67.0
16,18,64.5
16,19,64.6
16,20,67.1
16,21,65.6
16,22,64.3
17,-22,64.3
17,-21,66.6
17,-20,64.7
17,-19,64.4
17,-18,67.0
17,-17,65.6
17,-16,73.3
17,-15,73.4
17,-14,73.4
17,-13,75.2
17,-12,76.9
17,-11,73.2
17,-10,76.7
17,-9,73.3
17,-8,73.2
17,-7,73.3
17,-6,76.7
17,-5,76.9
17,-4,80.3
17,-3,81.6
17,-2,81.6
17,-1,56.3
17,0,75.0
17,1,75.4
17,2,76.7
17,3,67.0
17,4,67.1
17,5,68.0
17,6,68.3
17,7,69.8
17,8,68.1
17,9,68.1
17,10,69.8
17,11,68.1
17,12,68.5
17,13,69.7
17,14,68.5
17,15,68.4
17,16,69.9
17,17,68.5
17,18,67.6
17,19,69.9
17,20,68.1
17,21,68.2
17,22,69.8
18,-22,65.9
18,-21,64.2
18,-20,64.3
18,-19,66.3
18,-18,65.4
18,-17,71.7
18,-16,73.4
18,-15,71.9
18,-14,73.3
18,-13,76.8
18,-12,75.0
18,-11,75.1
18,-10,73.2
18,-9,73.2
18,-8,73.4
18,-7,76.7
18,-6,75.0
18,-5,75.0
18,-4,81.6
18,-3,82.1
18,-2,55.8
18,-1,75.5
18,0,76.8
18,1,75.1
18,2,68.4
18,3,66.4
18,4,68.1
18,5,68.1
18,6,69.8
18,7,68.4
18,8,68.1
18,9,69.9
18,10,68.0
18,11,68.4
18,12,69.8
18,13,68.1
18,14,68.1
18,15,69.7
18,16,68.0
18,17,68.5
18,18,69.8
18,19,68.1
18,20,68.8
18,21,69.7
18,22,68.4
