len(N),E,ns
1,-22,42.4
1,-21,47.4
1,-20,36.1
1,-19,39.2
1,-18,41.4
1,-17,48.4
1,-16,36.1
1,-15,39.5
1,-14,42.0
1,-13,47.6
1,-12,36.1
1,-11,39.2
1,-10,41.4
1,-9,48.1
1,-8,36.0
1,-7,39.0
1,-6,40.8
1,-5,46.5
1,-4,35.3
1,-3,36.8
1,-2,40.8
1,-1,46.0
1,0,39.9
1,1,37.5
1,2,39.9
1,3,46.0
1,4,34.5
1,5,37.7
1,6,39.9
1,7,47.6
1,8,34.5
1,9,37.7
1,10,40.8
1,11,48.6
1,12,34.5
1,13,37.7
1,14,40.8
1,15,46.0
1,16,34.5
1,17,37.7
1,18,39.9
1,19,46.0
1,20,34.5
1,21,38.4
1,22,46.0
2,-22,51.6
2,-21,33.8
2,-20,36.9
2,-19,40.2
2,-18,47.1
2,-17,33.8
2,-16,36.9
2,-15,40.8
2,-14,45.0
2,-13,33.8
2,-12,36.9
2,-11,40.5
2,-10,44.5
2,-9,32.9
2,-8,36.8
2,-7,37.7
2,-6,44.5
2,-5,32.2
2,-4,35.3
2,-3,37.7
2,-2,43.0
2,-1,36.1
2,0,34.5
2,1,37.7
2,2,40.8
2,3,31.4
2,4,34.5
2,5,37.7
2,6,43.9
2,7,31.4
2,8,34.5
2,9,37.7
2,10,44.5
2,11,31.4
2,12,34.5
2,13,37.5
2,14,43.0
2,15,31.5
2,16,34.5
2,17,37.5
2,18,43.0
2,19,31.4
2,20,36.8
2,21,45.5
2,22,47.6
3,-22,32.2
3,-21,34.5
3,-20,38.4
3,-19,45.5
3,-18,32.2
3,-17,35.3
3,-16,39.2
3,-15,42.4
3,-14,32.2
3,-13,35.3
3,-12,39.2
3,-11,43.9
3,-10,33.0
3,-9,35.3
3,-8,36.9
3,-7,43.9
3,-6,31.4
3,-5,33.8
3,-4,36.8
3,-3,42.4
3,-2,34.3
3,-1,41.0
3,0,36.8
3,1,39.9
3,2,30.7
3,3,33.0
3,4,36.8
3,5,43.9
3,6,30.7
3,7,33.0
3,8,36.9
3,9,43.9
3,10,30.7
3,11,33.7
3,12,36.8
3,13,41.4
3,14,30.7
3,15,33.7
3,16,36.8
3,17,43.0
3,18,39.1
3,19,47.4
3,20,47.5
3,21,48.4
3,22,33.5
