len(N),E,ns
  7,-13,      27.9
  7,-12,      27.5
  7,-11,      28.4
  7,-10,      28.0
  7, -9,      27.5
  7, -8,      28.5
  7, -7,      28.0
  7, -6,      28.1
  7, -5,      29.1
  7, -4,      29.0
  7, -3,      28.0
  7, -2,      29.4
  7, -1,      29.2
  7,  0,      12.5
  7,  1,      12.4
  7,  2,      13.0
  7,  3,      15.5
  7,  4,      13.3
  7,  5,      12.9
  7,  6,      13.8
  7,  7,      13.4
  7,  8,      14.0
  7,  9,      15.8
  7, 10,      27.5
  7, 11,      28.3
  7, 12,      29.1
  7, 13,      30.4
  7, 14,      32.4
  7, 15,      29.9
  7, 16,      29.1
  7, 17,      29.8
  7, 18,      29.3
  7, 19,      29.3
  7, 20,      29.8
  8,-20,      27.9
  8,-19,      27.5
  8,-18,      28.5
  8,-17,      27.9
  8,-16,      29.3
  8,-15,      28.8
  8,-14,      27.2
  8,-13,      26.8
  8,-12,      27.7
  8,-11,      27.2
  8,-10,      26.8
  8, -9,      27.9
  8, -8,      27.3
  8, -7,      27.7
  8, -6,      28.4
  8, -5,      27.9
  8, -4,      27.4
  8, -3,      28.7
  8, -2,      28.2
  8, -1,      28.1
  8,  0,      12.5
  8,  1,      13.0
  8,  2,      15.6
  8,  3,      13.3
  8,  4,      12.9
  8,  5,      13.8
  8,  6,      13.4
  8,  7,      14.0
  8,  8,      15.7
  8,  9,      27.5
  8, 10,      27.7
  8, 11,      28.7
  8, 12,      32.3
  8, 13,      30.4
  8, 14,      28.7
  8, 15,      28.1
  8, 16,      29.0
  8, 17,      28.5
  8, 18,      28.1
  8, 19,      29.1
  8, 20,      30.1
  9,-20,      28.6
  9,-19,      29.5
  9,-18,      28.9
  9,-17,      30.1
  9,-16,      29.6
  9,-15,      27.8
  9,-14,      27.4
  9,-13,      28.5
  9,-12,      27.9
  9,-11,      27.5
  9,-10,      28.6
  9, -9,      28.0
  9, -8,      28.2
  9, -7,      29.2
  9, -6,      28.9
  9, -5,      28.0
  9, -4,      29.2
  9, -3,      29.4
  9, -2,      28.3
  9, -1,      29.7
  9,  0,      13.1
  9,  1,      15.5
  9,  2,      13.3
  9,  3,      12.9
  9,  4,      13.8
  9,  5,      13.4
  9,  6,      14.0
  9,  7,      15.8
  9,  8,      27.5
  9,  9,      28.6
  9, 10,      29.7
  9, 11,      31.9
  9, 12,      30.6
  9, 13,      29.7
  9, 14,      29.3
  9, 15,      30.1
  9, 16,      31.3
  9, 17,      29.2
  9, 18,      30.7
  9, 19,      29.6
  9, 20,      30.3
 10,-20,      29.5
 10,-19,      29.2
 10,-18,      31.4
 10,-17,      29.6
 10,-16,      28.7
 10,-15,      28.7
 10,-14,      28.8
 10,-13,      28.7
 10,-12,      28.7
 10,-11,      28.8
 10,-10,      28.9
 10, -9,      29.6
 10, -8,      29.5
 10, -7,      29.6
 10, -6,      29.5
 10, -5,      29.6
 10, -4,      29.6
 10, -3,      29.4
 10, -2,      29.8
 10, -1,      30.1
 10,  0,      15.5
 10,  1,      13.3
 10,  2,      12.9
 10,  3,      13.8
 10,  4,      13.3
 10,  5,      14.0
 10,  6,      15.7
 10,  7,      29.5
 10,  8,      30.5
 10,  9,      33.5
 10, 10,      31.8
 10, 11,      30.3
 10, 12,      30.1
 10, 13,      30.0
 10, 14,      29.9
 10, 15,      29.9
 10, 16,      29.9
 10, 17,      30.0
 10, 18,      29.9
 10, 19,      29.9
 10, 20,      30.0
 11,-20,      29.2
 11,-19,      30.5
 11,-18,      30.1
 11,-17,      27.8
 11,-16,      27.4
 11,-15,      28.4
 11,-14,      27.8
 11,-13,      27.5
 11,-12,      28.4
 11,-11,      27.9
 11,-10,      28.7
 11, -9,      29.8
 11, -8,      29.4
 11, -7,      28.5
 11, -6,      29.6
 11, -5,      29.0
 11, -4,      28.6
 11, -3,      29.7
 11, -2,      29.2
 11, -1,      29.2
 11,  0,      13.3
 11,  1,      12.9
 11,  2,      13.8
 11,  3,      13.3
