len(N),E,ns
  6,-11 ,      16.5
  6,-10 ,      18.4
  6, -9 ,      18.2
  6, -8 ,      16.3
  6, -7 ,      18.2
  6, -6 ,      18.3
  6, -5 ,      17.2
  6, -4 ,      18.7
  6, -3 ,      19.1
  6, -2 ,      16.3
  6, -1 ,      18.2
  6,  0 ,      8.79
  6,  1 ,      9.44
  6,  2 ,      9.41
  6,  3 ,      9.74
  6,  4 ,      13.6
  6,  5 ,      11.3
  6,  6 ,      10.5
  6,  7 ,      10.6
  6,  8 ,      9.69
  6,  9 ,      9.95
  6, 10 ,      11.1
  6, 11 ,      17.1
  6, 12 ,      20.2
  6, 13 ,      19.7
  6, 14 ,      17.9
  6, 15 ,      22.0
  6, 16 ,      21.1
  6, 17 ,      19.8
  6, 18 ,      21.0
  6, 19 ,      21.3
  6, 20 ,      19.7
  7,-20 ,      20.4
  7,-19 ,      19.9
  7,-18 ,      18.8
  7,-17 ,      20.4
  7,-16 ,      20.0
  7,-15 ,      18.4
  7,-14 ,      20.0
  7,-13 ,      18.3
  7,-12 ,      16.5
  7,-11 ,      18.3
  7,-10 ,      18.2
  7, -9 ,      16.3
  7, -8 ,      18.2
  7, -7 ,      18.3
  7, -6 ,      17.2
  7, -5 ,      18.8
  7, -4 ,      19.1
  7, -3 ,      17.3
  7, -2 ,      18.2
  7, -1 ,      19.0
  7,  0 ,      9.46
  7,  1 ,      9.41
  7,  2 ,      9.69
  7,  3 ,      14.2
  7,  4 ,      11.3
  7,  5 ,      10.5
  7,  6 ,      10.6
  7,  7 ,      10.6
  7,  8 ,      9.98
  7,  9 ,      11.1
  7, 10 ,      17.0
  7, 11 ,      20.2
  7, 12 ,      19.8
  7, 13 ,      19.8
  7, 14 ,      21.7
  7, 15 ,      21.0
  7, 16 ,      19.9
  7, 17 ,      21.0
  7, 18 ,      21.0
  7, 19 ,      19.7
  7, 20 ,      20.9
  8,-20 ,      21.2
  8,-19 ,      19.4
  8,-18 ,      22.0
  8,-17 ,      21.3
  8,-16 ,      19.0
  8,-15 ,      20.7
  8,-14 ,      19.7
  8,-13 ,      16.7
  8,-12 ,      18.9
  8,-11 ,      19.6
  8,-10 ,      16.5
  8, -9 ,      18.8
  8, -8 ,      19.9
  8, -7 ,      17.6
  8, -6 ,      19.1
  8, -5 ,      20.2
  8, -4 ,      16.5
  8, -3 ,      18.6
  8, -2 ,      20.1
  8, -1 ,      16.3
  8,  0 ,      9.42
  8,  1 ,      9.69
  8,  2 ,      14.6
  8,  3 ,      11.9
  8,  4 ,      10.5
  8,  5 ,      10.6
  8,  6 ,      10.7
  8,  7 ,      11.5
  8,  8 ,      11.3
  8,  9 ,      17.5
  8, 10 ,      21.2
  8, 11 ,      21.1
  8, 12 ,      21.5
  8, 13 ,      22.2
  8, 14 ,      21.9
  8, 15 ,      20.3
  8, 16 ,      22.0
  8, 17 ,      21.9
  8, 18 ,      20.1
  8, 19 ,      21.7
  8, 20 ,      22.1
  9,-20 ,      20.7
  9,-19 ,      22.1
  9,-18 ,      21.9
  9,-17 ,      20.4
  9,-16 ,      21.9
  9,-15 ,      20.4
  9,-14 ,      18.5
  9,-13 ,      20.3
  9,-12 ,      20.4
  9,-11 ,      18.3
  9,-10 ,      20.2
  9, -9 ,      20.7
  9, -8 ,      18.8
  9, -7 ,      20.4
  9, -6 ,      21.0
  9, -5 ,      18.4
  9, -4 ,      20.1
  9, -3 ,      21.0
  9, -2 ,      18.2
  9, -1 ,      20.0
  9,  0 ,      9.70
  9,  1 ,      14.2
  9,  2 ,      14.9
  9,  3 ,      11.1
  9,  4 ,      10.5
  9,  5 ,      10.6
  9,  6 ,      11.5
  9,  7 ,      12.8
  9,  8 ,      19.3
  9,  9 ,      22.2
  9, 10 ,      21.6
  9, 11 ,      22.4
  9, 12 ,      22.8
  9, 13 ,      22.5
  9, 14 ,      21.3
  9, 15 ,      22.5
  9, 16 ,      22.6
  9, 17 ,      21.2
  9, 18 ,      22.5
  9, 19 ,      22.6
  9, 20 ,      21.0
 10,-20 ,      22.2
 10,-19 ,      21.9
 10,-18 ,      20.4
 10,-17 ,      22.0
 10,-16 ,      20.5
 10,-15 ,      18.5
 10,-14 ,      20.4
 10,-13 ,      20.6
 10,-12 ,      18.4
 10,-11 ,      20.2
 10,-10 ,      20.6
 10, -9 ,      18.8
 10, -8 ,      20.5
 10, -7 ,      21.1
 10, -6 ,      18.4
 10, -5 ,      20.1
 10, -4 ,      20.9
 10, -3 ,      18.2
 10, -2 ,      19.9
 10, -1 ,      21.0
 10,  0 ,      14.3
 10,  1 ,      12.1
 10,  2 ,      11.1
 10,  3 ,      11.3
 10,  4 ,      10.6
 10,  5 ,      11.6
 10,  6 ,      12.8
 10,  7 ,      19.2
 10,  8 ,      22.1
 10,  9 ,      23.4
 10, 10 ,      22.0
 10, 11 ,      22.7
 10, 12 ,      22.6
