len(N),E,ns
  6,-11    ,  20.9
  6,-10    ,  22.5
  6, -9    ,  22.7
  6, -8    ,  20.7
  6, -7    ,  22.4
  6, -6    ,  22.6
  6, -5    ,  21.6
  6, -4    ,  23.3
  6, -3    ,  23.6
  6, -2    ,  21.1
  6, -1    ,  22.9
  6,  0    ,  8.70
  6,  1    ,  9.01
  6,  2    ,  9.17
  6,  3    ,  9.16
  6,  4    ,  12.8
  6,  5    ,  10.6
  6,  6    ,  10.4
  6,  7    ,  10.2
  6,  8    ,  9.17
  6,  9    ,  9.42
  6, 10    ,  10.9
  6, 11    ,  21.6
  6, 12    ,  24.2
  6, 13    ,  23.9
  6, 14    ,  22.9
  6, 15    ,  24.2
  6, 16    ,  24.0
  6, 17    ,  22.7
  6, 18    ,  24.1
  6, 19    ,  24.0
  6, 20    ,  22.5
  7,-20    ,  24.2
  7,-19    ,  23.8
  7,-18    ,  23.0
  7,-17    ,  24.2
  7,-16    ,  23.9
  7,-15    ,  22.5
  7,-14    ,  23.7
  7,-13    ,  22.3
  7,-12    ,  21.0
  7,-11    ,  22.4
  7,-10    ,  22.4
  7, -9    ,  20.7
  7, -8    ,  22.4
  7, -7    ,  22.5
  7, -6    ,  21.6
  7, -5    ,  23.2
  7, -4    ,  23.5
  7, -3    ,  21.1
  7, -2    ,  22.8
  7, -1    ,  23.6
  7,  0    ,  8.94
  7,  1    ,  9.17
  7,  2    ,  9.18
  7,  3    ,  13.6
  7,  4    ,  10.6
  7,  5    ,  10.3
  7,  6    ,  10.2
  7,  7    ,  10.1
  7,  8    ,  9.42
  7,  9    ,  11.4
  7, 10    ,  21.7
  7, 11    ,  24.3
  7, 12    ,  23.9
  7, 13    ,  22.9
  7, 14    ,  24.3
  7, 15    ,  23.9
  7, 16    ,  22.7
  7, 17    ,  24.1
  7, 18    ,  24.0
  7, 19    ,  22.5
  7, 20    ,  24.0
  8,-20    ,  24.3
  8,-19    ,  23.5
  8,-18    ,  24.8
  8,-17    ,  24.3
  8,-16    ,  23.0
  8,-15    ,  24.5
  8,-14    ,  23.2
  8,-13    ,  21.1
  8,-12    ,  22.9
  8,-11    ,  23.2
  8,-10    ,  21.0
  8, -9    ,  22.8
  8, -8    ,  23.2
  8, -7    ,  21.8
  8, -6    ,  23.5
  8, -5    ,  24.3
  8, -4    ,  21.2
  8, -3    ,  23.1
  8, -2    ,  24.2
  8, -1    ,  21.0
  8,  0    ,  9.16
  8,  1    ,  9.17
  8,  2    ,  13.6
  8,  3    ,  11.1
  8,  4    ,  10.3
  8,  5    ,  10.2
  8,  6    ,  10.1
  8,  7    ,  10.4
  8,  8    ,  11.0
  8,  9    ,  22.0
  8, 10    ,  24.9
  8, 11    ,  24.3
  8, 12    ,  23.4
  8, 13    ,  24.8
  8, 14    ,  24.3
  8, 15    ,  23.0
  8, 16    ,  24.8
  8, 17    ,  24.5
  8, 18    ,  22.8
  8, 19    ,  24.7
  8, 20    ,  24.6
  9,-20    ,  23.8
  9,-19    ,  25.2
  9,-18    ,  24.8
  9,-17    ,  23.4
  9,-16    ,  25.0
  9,-15    ,  23.7
  9,-14    ,  22.2
  9,-13    ,  23.7
  9,-12    ,  23.8
  9,-11    ,  22.0
  9,-10    ,  23.6
  9, -9    ,  23.9
  9, -8    ,  22.7
  9, -7    ,  24.3
  9, -6    ,  24.6
  9, -5    ,  22.4
  9, -4    ,  24.5
  9, -3    ,  24.6
  9, -2    ,  22.2
  9, -1    ,  24.1
  9,  0    ,  9.16
  9,  1    ,  13.6
  9,  2    ,  11.2
  9,  3    ,  10.8
  9,  4    ,  10.2
  9,  5    ,  10.1
  9,  6    ,  10.4
  9,  7    ,  12.1
  9,  8    ,  22.6
  9,  9    ,  25.2
  9, 10    ,  24.7
  9, 11    ,  23.7
  9, 12    ,  25.1
  9, 13    ,  24.8
  9, 14    ,  23.5
  9, 15    ,  25.1
  9, 16    ,  25.0
  9, 17    ,  23.4
  9, 18    ,  24.9
  9, 19    ,  24.9
  9, 20    ,  23.2
 10,-20    ,  25.2
 10,-19    ,  24.8
 10,-18    ,  23.4
 10,-17    ,  25.0
 10,-16    ,  23.7
 10,-15    ,  22.2
 10,-14    ,  23.7
 10,-13    ,  23.8
 10,-12    ,  22.0
 10,-11    ,  23.6
 10,-10    ,  24.0
 10, -9    ,  22.7
 10, -8    ,  24.4
 10, -7    ,  24.7
 10, -6    ,  22.4
 10, -5    ,  24.2
 10, -4    ,  24.6
 10, -3    ,  22.2
 10, -2    ,  24.0
 10, -1    ,  24.7
 10,  0    ,  13.6
 10,  1    ,  11.1
 10,  2    ,  10.8
 10,  3    ,  10.8
 10,  4    ,  10.1
 10,  5    ,  10.4
 10,  6    ,  12.1
 10,  7    ,  22.6
 10,  8    ,  25.3
 10,  9    ,  24.7
 10, 10    ,  23.7
 10, 11    ,  25.0
 10, 12    ,  24.9
 10, 13    ,  23.6
 10, 14    ,  25.1
 10, 15    ,  24.9
 10, 16    ,  23.4
 10, 17    ,  24.9
 10, 18    ,  25.0
 10, 19    ,  23.2
 10, 20    ,  24.8
 11,-20    ,  24.8
 11,-19    ,  23.4
 11,-18    ,  27.3
 11,-17    ,  23.7
 11,-16    ,  22.2
 11,-15    ,  23.7
 11,-14    ,  23.7
 11,-13    ,  22.1
 11,-12    ,  23.6
 11,-11    ,  24.0
 11,-10    ,  22.8
 11, -9    ,  24.4
 11, -8    ,  24.7
 11, -7    ,  22.4
 11, -6    ,  24.2
 11, -5    ,  24.6
 11, -4    ,  22.2
 11, -3    ,  24.1
 11, -2    ,  24.6
 11, -1    ,  22.0
 11,  0    ,  11.1
 11,  1    ,  10.8
 11,  2    ,  10.8
 11,  3    ,  10.8
 11,  4    ,  10.4
 11,  5    ,  12.1
 11,  6    ,  22.6
 11,  7    ,  25.2
 11,  8    ,  24.7
 11,  9    ,  23.7
 11, 10    ,  25.1
 11, 11    ,  24.9
 11, 12    ,  23.5
 11, 13    ,  25.0
 11, 14    ,  24.9
 11, 15    ,  23.4
 11, 16    ,  25.0
 11, 17    ,  25.0
 11, 18    ,  23.2
 11, 19    ,  24.8
 11, 20    ,  25.1
 12,-20    ,  23.4
 12,-19    ,  25.2
 12,-18    ,  23.9
 12,-17    ,  22.2
 12,-16    ,  23.9
 12,-15    ,  24.0
 12,-14    ,  22.0
 12,-13    ,  23.8
 12,-12    ,  24.1
 12,-11    ,  22.9
 12,-10    ,  24.8
 12, -9    ,  25.0
 12, -8    ,  22.6
 12, -7    ,  24.6
 12, -6    ,  25.0
 12, -5    ,  22.4
 12, -4    ,  24.5
 12, -3    ,  25.1
 12, -2    ,  22.2
 12, -1    ,  24.3
 12,  0    ,  10.9
 12,  1    ,  10.9
 12,  2    ,  11.2
 12,  3    ,  11.2
 12,  4    ,  12.1
 12,  5    ,  23.0
 12,  6    ,  25.5
 12,  7    ,  25.2
 12,  8    ,  23.8
 12,  9    ,  25.4
 12, 10    ,  25.2
 12, 11    ,  23.7
 12, 12    ,  25.3
 12, 13    ,  25.3
 12, 14    ,  23.4
 12, 15    ,  25.1
 12, 16    ,  25.4
 12, 17    ,  25.1
 12, 18    ,  25.7
