len(N),E,ns
  6,-11   ,     23.9
  6,-10   ,     25.7
  6, -9   ,     30.7
  6, -8   ,     27.3
  6, -7   ,     25.9
  6, -6   ,     24.5
  6, -5   ,     23.7
  6, -4   ,     22.5
  6, -3   ,     24.3
  6, -2   ,     25.9
  6, -1   ,     29.8
  6,  0   ,     10.4
  6,  1   ,     10.9
  6,  2   ,     10.9
  6,  3   ,     11.2
  6,  4   ,     14.2
  6,  5   ,     11.6
  6,  6   ,     11.1
  6,  7   ,     12.0
  6,  8   ,     11.5
  6,  9   ,     12.5
  6, 10   ,     13.7
  6, 11   ,     18.2
  6, 12   ,     18.7
  6, 13   ,     20.2
  6, 14   ,     21.8
  6, 15   ,     79.7
  6, 16   ,     43.9
  6, 17   ,     29.3
  6, 18   ,     25.6
  6, 19   ,     23.8
  6, 20   ,     23.0
  7,-20   ,     23.9
  7,-19   ,     25.3
  7,-18   ,     29.7
  7,-17   ,     29.9
  7,-16   ,     28.5
  7,-15   ,     27.0
  7,-14   ,     25.6
  7,-13   ,     24.3
  7,-12   ,     23.4
  7,-11   ,     25.0
  7,-10   ,     31.9
  7, -9   ,     29.7
  7, -8   ,     28.3
  7, -7   ,     27.0
  7, -6   ,     25.8
  7, -5   ,     24.5
  7, -4   ,     23.6
  7, -3   ,     25.1
  7, -2   ,     30.6
  7, -1   ,     29.3
  7,  0   ,     10.8
  7,  1   ,     10.9
  7,  2   ,     11.2
  7,  3   ,     14.1
  7,  4   ,     11.4
  7,  5   ,     11.0
  7,  6   ,     12.1
  7,  7   ,     11.5
  7,  8   ,     12.5
  7,  9   ,     13.9
  7, 10   ,     20.6
  7, 11   ,     20.1
  7, 12   ,     19.6
  7, 13   ,     55.9
  7, 14   ,     73.1
  7, 15   ,     37.7
  7, 16   ,     30.0
  7, 17   ,     27.4
  7, 18   ,     25.8
  7, 19   ,     24.5
  7, 20   ,     23.8
  8,-20   ,     23.5
  8,-19   ,     29.1
  8,-18   ,     31.4
  8,-17   ,     29.9
  8,-16   ,     28.3
  8,-15   ,     27.3
  8,-14   ,     24.9
  8,-13   ,     23.8
  8,-12   ,     22.9
  8,-11   ,     31.7
  8,-10   ,     30.8
  8, -9   ,     29.4
  8, -8   ,     28.0
  8, -7   ,     26.6
  8, -6   ,     25.4
  8, -5   ,     24.1
  8, -4   ,     23.2
  8, -3   ,     29.3
  8, -2   ,     30.3
  8, -1   ,     28.7
  8,  0   ,     10.9
  8,  1   ,     11.2
  8,  2   ,     14.2
  8,  3   ,     11.5
  8,  4   ,     11.1
  8,  5   ,     12.1
  8,  6   ,     11.5
  8,  7   ,     12.5
  8,  8   ,     14.1
  8,  9   ,     21.8
  8, 10   ,     21.5
  8, 11   ,     20.1
  8, 12   ,     89.8
  8, 13   ,     57.6
  8, 14   ,     36.0
  8, 15   ,     30.5
  8, 16   ,     28.8
  8, 17   ,     27.2
  8, 18   ,     25.9
  8, 19   ,     24.3
  8, 20   ,     23.5
  9,-20   ,     29.0
  9,-19   ,     33.1
  9,-18   ,     31.7
  9,-17   ,     30.5
  9,-16   ,     29.2
  9,-15   ,     27.3
  9,-14   ,     26.0
  9,-13   ,     24.6
  9,-12   ,     32.8
  9,-11   ,     32.7
  9,-10   ,     31.4
  9, -9   ,     30.0
  9, -8   ,     29.1
  9, -7   ,     27.6
  9, -6   ,     26.4
  9, -5   ,     25.0
  9, -4   ,     30.2
  9, -3   ,     32.8
  9, -2   ,     31.4
  9, -1   ,     29.9
  9,  0   ,     11.3
  9,  1   ,     14.2
  9,  2   ,     11.5
  9,  3   ,     11.1
  9,  4   ,     12.1
  9,  5   ,     11.4
  9,  6   ,     12.6
  9,  7   ,     14.3
  9,  8   ,     23.9
  9,  9   ,     23.5
  9, 10   ,     35.1
  9, 11   ,     83.8
  9, 12   ,     45.1
  9, 13   ,     35.8
  9, 14   ,     32.1
  9, 15   ,     30.3
  9, 16   ,     28.9
  9, 17   ,     27.8
  9, 18   ,     26.3
  9, 19   ,     25.1
  9, 20   ,     27.8
 10,-20   ,     36.9
 10,-19   ,     35.6
 10,-18   ,     34.4
 10,-17   ,     32.7
 10,-16   ,     30.4
 10,-15   ,     28.7
 10,-14   ,     27.5
 10,-13   ,     33.3
 10,-12   ,     35.8
 10,-11   ,     34.4
 10,-10   ,     33.2
 10, -9   ,     32.7
 10, -8   ,     31.4
 10, -7   ,     30.0
 10, -6   ,     28.7
 10, -5   ,     32.8
 10, -4   ,     36.6
 10, -3   ,     35.0
 10, -2   ,     33.7
 10, -1   ,     32.3
 10,  0   ,     14.2
 10,  1   ,     11.5
 10,  2   ,     11.0
 10,  3   ,     12.1
 10,  4   ,     11.4
 10,  5   ,     12.5
 10,  6   ,     14.3
 10,  7   ,     27.3
 10,  8   ,     27.6
 10,  9   ,      119
 10, 10   ,     69.4
 10, 11   ,     40.6
 10, 12   ,     38.3
 10, 13   ,     35.6
 10, 14   ,     34.2
 10, 15   ,     32.8
 10, 16   ,     31.5
 10, 17   ,     30.2
 10, 18   ,     28.8
 10, 19   ,     31.1
 10, 20   ,     36.8
 11,-20   ,     35.1
 11,-19   ,     33.3
 11,-18   ,     31.9
 11,-17   ,     29.5
 11,-16   ,     28.1
 11,-15   ,     27.2
 11,-14   ,     34.6
 11,-13   ,     35.2
 11,-12   ,     34.0
 11,-11   ,     32.3
 11,-10   ,     31.8
 11, -9   ,     30.4
 11, -8   ,     29.1
 11, -7   ,     27.6
 11, -6   ,     32.9
 11, -5   ,     35.7
 11, -4   ,     34.3
 11, -3   ,     32.8
 11, -2   ,     31.3
 11, -1   ,     30.0
 11,  0   ,     11.5
 11,  1   ,     11.0
 11,  2   ,     12.0
 11,  3   ,     11.4
 11,  4   ,     12.5
 11,  5   ,     14.6
 11,  6   ,     26.1
 11,  7   ,     26.3
 11,  8   ,      109
 11,  9   ,     47.9
 11, 10   ,     37.8
 11, 11   ,     36.9
 11, 12   ,     35.3
 11, 13   ,     33.7
 11, 14   ,     32.5
 11, 15   ,     30.9
 11, 16   ,     29.5
 11, 17   ,     28.1
 11, 18   ,     30.8
 11, 19   ,     36.6
 11, 20   ,     35.0
 12,-20   ,     34.7
 12,-19   ,     33.3
 12,-18   ,     31.0
 12,-17   ,     29.6
 12,-16   ,     28.2
 12,-15   ,     36.0
 12,-14   ,     36.8
 12,-13   ,     35.3
 12,-12   ,     34.0
 12,-11   ,     33.0
 12,-10   ,     31.4
 12, -9   ,     29.9
 12, -8   ,     28.5
 12, -7   ,     33.5
 12, -6   ,     36.8
 12, -5   ,     35.2
 12, -4   ,     33.7
 12, -3   ,     32.3
 12, -2   ,     30.9
 12, -1   ,     29.2
 12,  0   ,     11.0
 12,  1   ,     12.1
 12,  2   ,     11.5
 12,  3   ,     12.5
 12,  4   ,     14.6
 12,  5   ,     26.7
 12,  6   ,      114
 12,  7   ,     91.3
 12,  8   ,     39.5
 12,  9   ,     37.3
 12, 10   ,     37.8
 12, 11   ,     36.4
 12, 12   ,     34.9
 12, 13   ,     33.5
 12, 14   ,     32.2
 12, 15   ,     30.8
 12, 16   ,     29.4
 12, 17   ,     31.7
 12, 18   ,     37.6
 12, 19   ,     36.3
 12, 20   ,     34.9
 13,-20   ,     34.7
 13,-19   ,     33.4
 13,-18   ,     32.1
 13,-17   ,     30.7
 13,-16   ,     38.6
 13,-15   ,     39.2
 13,-14   ,     37.8
 13,-13   ,     36.4
 13,-12   ,     35.0
 13,-11   ,     33.7
 13,-10   ,     32.2
 13, -9   ,     31.0
 13, -8   ,     36.4
 13, -7   ,     39.2
 13, -6   ,     37.7
 13, -5   ,     36.4
 13, -4   ,     34.8
 13, -3   ,     33.2
 13, -2   ,     33.5
 13, -1   ,     30.0
 13,  0   ,     12.1
 13,  1   ,     11.4
 13,  2   ,     12.5
 13,  3   ,     14.8
 13,  4   ,     29.9
 13,  5   ,      123
 13,  6   ,     62.4
 13,  7   ,     36.6
 13,  8   ,     38.2
 13,  9   ,     39.2
 13, 10   ,     37.9
 13, 11   ,     36.5
 13, 12   ,     35.0
 13, 13   ,     33.7
 13, 14   ,     32.4
 13, 15   ,     31.1
 13, 16   ,     33.4
 13, 17   ,     39.1
 13, 18   ,     37.6
 13, 19   ,     36.3
 13, 20   ,     34.9
 14,-20   ,     33.9
 14,-19   ,     32.7
 14,-18   ,     30.8
 14,-17   ,     39.0
 14,-16   ,     39.7
 14,-15   ,     38.3
 14,-14   ,     36.7
 14,-13   ,     36.0
 14,-12   ,     34.8
 14,-11   ,     33.2
 14,-10   ,     31.9
 14, -9   ,     36.9
 14, -8   ,     39.8
 14, -7   ,     38.5
 14, -6   ,     37.0
 14, -5   ,     35.8
 14, -4   ,     34.2
 14, -3   ,     32.6
 14, -2   ,     31.1
 14, -1   ,     38.9
 14,  0   ,     11.5
 14,  1   ,     12.5
 14,  2   ,     14.9
 14,  3   ,     95.9
 14,  4   ,      105
 14,  5   ,     49.3
 14,  6   ,     35.2
 14,  7   ,     38.9
 14,  8   ,     40.5
 14,  9   ,     39.1
 14, 10   ,     37.8
 14, 11   ,     36.5
 14, 12   ,     35.2
 14, 13   ,     33.6
 14, 14   ,     32.4
 14, 15   ,     34.8
 14, 16   ,     40.7
 14, 17   ,     39.0
 14, 18   ,     37.7
 14, 19   ,     36.3
 14, 20   ,     35.0
 15,-20   ,     35.3
 15,-19   ,     33.8
 15,-18   ,     41.7
 15,-17   ,     42.5
 15,-16   ,     41.1
 15,-15   ,     39.6
 15,-14   ,     38.5
 15,-13   ,     36.8
 15,-12   ,     35.6
 15,-11   ,     34.1
 15,-10   ,     39.1
 15, -9   ,     42.4
 15, -8   ,     41.0
 15, -7   ,     39.6
 15, -6   ,     38.1
 15, -5   ,     36.6
 15, -4   ,     35.2
 15, -3   ,     33.6
 15, -2   ,     41.6
 15, -1   ,     41.7
 15,  0   ,     12.5
 15,  1   ,     15.2
 15,  2   ,      146
 15,  3   ,     78.4
 15,  4   ,     44.0
 15,  5   ,     35.4
 15,  6   ,     40.6
 15,  7   ,     42.4
 15,  8   ,     41.0
 15,  9   ,     39.7
 15, 10   ,     38.4
 15, 11   ,     36.9
 15, 12   ,     35.4
 15, 13   ,     34.2
 15, 14   ,     36.6
 15, 15   ,     42.4
 15, 16   ,     41.0
 15, 17   ,     39.4
 15, 18   ,     38.2
 15, 19   ,     36.9
 15, 20   ,     35.2
 16,-20   ,     36.8
 16,-19   ,     43.9
 16,-18   ,     45.0
 16,-17   ,     43.8
 16,-16   ,     41.9
 16,-15   ,     40.8
 16,-14   ,     39.9
 16,-13   ,     37.6
 16,-12   ,     36.4
 16,-11   ,     41.6
 16,-10   ,     44.5
 16, -9   ,     42.9
 16, -8   ,     42.6
 16, -7   ,     40.5
 16, -6   ,     38.6
 16, -5   ,     38.0
 16, -4   ,     36.4
 16, -3   ,     44.8
 16, -2   ,     54.1
 16, -1   ,      115
 16,  0   ,     15.6
 16,  1   ,      125
 16,  2   ,     59.1
 16,  3   ,     41.1
 16,  4   ,     37.4
 16,  5   ,     43.5
 16,  6   ,     45.0
 16,  7   ,     44.3
 16,  8   ,     42.8
 16,  9   ,     40.8
 16, 10   ,     39.6
