len(N),E,ns
1,-22,75.8
1,-21,68.4
1,-20,76.3
1,-19,59.9
1,-18,63.7
1,-17,60.7
1,-16,66.5
1,-15,73.6
1,-14,69.2
1,-13,75.8
1,-12,80.1
1,-11,54.1
1,-10,64.2
1,-9,66.4
1,-8,69.3
1,-7,59.0
1,-6,71.9
1,-5,64.6
1,-4,72.3
1,-3,46.9
1,-2,59.2
1,-1,62.8
1,0,46.9
1,1,38.8
1,2,40.9
1,3,42.1
1,4,43.8
1,5,45.2
1,6,46.8
1,7,47.5
1,8,48.1
1,9,49.9
1,10,50.9
1,11,52.2
1,12,55.2
1,13,57.3
1,14,61.2
1,15,64.5
1,16,60.3
1,17,60.0
1,18,62.7
1,19,64.8
1,20,71.1
1,21,46.5
1,22,91.2
2,-22,74.5
2,-21,73.6
2,-20,55.4
2,-19,59.7
2,-18,63.0
2,-17,65.5
2,-16,69.3
2,-15,71.9
2,-14,73.9
2,-13,75.6
2,-12,54.8
2,-11,57.4
2,-10,62.9
2,-9,66.1
2,-8,67.8
2,-7,69.9
2,-6,71.9
2,-5,70.0
2,-4,53.8
2,-3,57.8
2,-2,61.5
2,-1,75.4
2,0,38.0
2,1,36.7
2,2,38.4
2,3,40.5
2,4,41.8
2,5,43.4
2,6,44.5
2,7,46.4
2,8,47.2
2,9,48.5
2,10,49.9
2,11,51.9
2,12,55.8
2,13,57.7
2,14,61.3
2,15,52.9
2,16,55.9
2,17,57.7
2,18,60.1
2,19,65.6
2,20,52.0
2,21,120
2,22,72.5
3,-22,77.2
3,-21,58.7
3,-20,57.5
3,-19,61.5
3,-18,64.7
3,-17,67.7
3,-16,71.4
3,-15,73.7
3,-14,77.3
3,-13,60.1
3,-12,57.0
3,-11,60.7
3,-10,64.2
3,-9,66.9
3,-8,69.6
3,-7,71.0
3,-6,72.8
3,-5,56.3
3,-4,61.9
3,-3,59.4
3,-2,73.8
3,-1,77.7
3,0,38.7
3,1,38.7
3,2,40.9
3,3,42.6
3,4,43.4
3,5,45.1
3,6,46.0
3,7,47.0
3,8,48.0
3,9,49.9
3,10,51.0
3,11,52.5
3,12,54.8
3,13,58.2
3,14,50.5
3,15,54.2
3,16,57.3
3,17,60.0
3,18,67.6
3,19,142
3,20,104
3,21,70.1
3,22,66.6
4,-22,61.0
4,-21,57.7
4,-20,56.7
4,-19,60.8
4,-18,64.2
4,-17,66.5
4,-16,69.9
4,-15,74.7
4,-14,60.4
4,-13,58.0
4,-12,56.0
4,-11,60.7
4,-10,63.0
4,-9,65.1
4,-8,67.5
4,-7,71.2
4,-6,58.0
4,-5,55.3
4,-4,53.9
4,-3,67.9
4,-2,71.9
4,-1,73.6
4,0,35.7
4,1,35.6
4,2,37.3
4,3,39.1
4,4,40.8
4,5,42.1
4,6,42.3
4,7,43.8
4,8,45.2
4,9,47.4
4,10,49.3
4,11,52.6
4,12,55.1
4,13,44.9
4,14,51.7
4,15,53.9
4,16,55.8
4,17,64.8
4,18,161
4,19,84.0
4,20,61.6
4,21,62.1
4,22,64.4
5,-22,63.3
5,-21,60.2
5,-20,59.2
5,-19,64.4
5,-18,67.0
5,-17,70.7
5,-16,76.9
5,-15,66.2
5,-14,63.3
5,-13,59.1
5,-12,57.2
5,-11,61.9
5,-10,63.9
5,-9,66.6
5,-8,73.8
5,-7,64.5
5,-6,61.0
5,-5,58.1
5,-4,64.0
5,-3,69.2
5,-2,73.0
5,-1,76.0
5,0,35.7
5,1,36.2
5,2,37.9
5,3,39.6
5,4,41.1
5,5,43.2
5,6,43.8
5,7,45.9
5,8,47.0
5,9,48.2
5,10,51.1
5,11,54.8
5,12,44.2
5,13,47.8
5,14,51.0
5,15,53.8
5,16,182
5,17,149
5,18,78.3
5,19,62.3
5,20,59.5
5,21,63.8
5,22,66.4
6,-22,62.5
6,-21,59.5
6,-20,58.4
6,-19,62.6
6,-18,65.7
6,-17,73.9
6,-16,68.2
6,-15,65.4
6,-14,61.9
6,-13,58.9
6,-12,57.2
6,-11,59.9
6,-10,63.4
6,-9,73.6
6,-8,66.8
6,-7,63.6
6,-6,60.8
6,-5,63.8
6,-4,61.3
6,-3,64.5
6,-2,70.3
6,-1,82.1
6,0,34.8
6,1,35.4
6,2,37.2
6,3,39.3
6,4,39.4
6,5,41.5
6,6,42.4
6,7,44.3
6,8,45.8
6,9,48.3
6,10,52.5
6,11,46.1
6,12,44.2
6,13,47.5
6,14,50.7
6,15,214
6,16,117
6,17,75.3
6,18,63.5
6,19,59.3
6,20,57.9
6,21,62.4
6,22,65.9
7,-22,63.5
7,-21,60.5
7,-20,59.0
7,-19,63.4
7,-18,72.9
7,-17,71.3
7,-16,68.8
7,-15,65.5
7,-14,62.8
7,-13,59.4
7,-12,56.7
7,-11,61.5
7,-10,75.0
7,-9,69.8
7,-8,66.5
7,-7,64.6
7,-6,68.2
7,-5,63.1
7,-4,62.3
7,-3,66.2
7,-2,79.4
7,-1,76.9
7,0,34.2
7,1,34.6
7,2,35.9
7,3,38.1
7,4,39.2
7,5,41.3
7,6,42.4
7,7,44.3
7,8,47.1
7,9,52.0
7,10,50.9
7,11,45.8
7,12,45.3
7,13,147
7,14,198
7,15,96.6
7,16,72.3
7,17,67.1
7,18,63.3
7,19,60.4
7,20,58.8
7,21,63.2
7,22,71.3
8,-22,63.4
8,-21,59.7
8,-20,58.1
8,-19,70.4
8,-18,73.7
8,-17,70.5
8,-16,66.9
8,-15,64.3
8,-14,61.2
8,-13,57.7
8,-12,56.6
8,-11,79.3
8,-10,71.9
8,-9,69.3
8,-8,66.1
8,-7,72.4
8,-6,65.5
8,-5,62.9
8,-4,63.9
8,-3,76.5
8,-2,76.8
8,-1,75.6
8,0,33.6
8,1,34.5
8,2,35.5
8,3,37.3
8,4,38.1
8,5,40.0
8,6,42.2
8,7,44.6
8,8,49.4
8,9,53.7
8,10,50.1
8,11,46.3
8,12,255
8,13,157
8,14,86.7
8,15,72.4
8,16,68.5
8,17,66.1
8,18,64.2
8,19,59.3
8,20,58.5
8,21,68.9
8,22,73.9
9,-22,64.6
9,-21,61.0
9,-20,70.0
9,-19,77.4
9,-18,76.0
9,-17,72.0
9,-16,68.7
9,-15,66.3
9,-14,61.9
9,-13,58.7
9,-12,76.4
9,-11,76.1
9,-10,73.3
9,-9,71.7
9,-8,74.8
9,-7,73.0
9,-6,71.5
9,-5,66.1
9,-4,77.0
9,-3,81.2
9,-2,80.3
9,-1,78.7
9,0,35.6
9,1,35.8
9,2,37.4
9,3,39.1
9,4,40.4
9,5,42.6
9,6,44.2
9,7,49.3
9,8,57.3
9,9,54.4
9,10,84.7
9,11,231
9,12,112
9,13,84.0
9,14,76.9
9,15,72.7
9,16,70.3
9,17,67.7
9,18,63.6
9,19,61.8
9,20,68.3
9,21,77.8
9,22,75.3
10,-22,68.4
10,-21,74.9
10,-20,84.2
10,-19,82.3
10,-18,78.2
10,-17,75.4
10,-16,73.0
10,-15,69.5
10,-14,66.2
10,-13,78.6
10,-12,81.0
10,-11,78.7
10,-10,76.8
10,-9,81.6
10,-8,78.4
10,-7,76.7
10,-6,71.9
10,-5,82.5
10,-4,87.5
10,-3,85.5
10,-2,83.9
10,-1,81.0
10,0,39.4
10,1,40.2
10,2,42.4
10,3,43.4
10,4,45.5
10,5,48.3
10,6,53.3
10,7,65.2
10,8,62.6
10,9,317
10,10,185
10,11,101
10,12,86.8
10,13,81.8
10,14,79.2
10,15,76.2
10,16,73.7
10,17,70.7
10,18,68.5
10,19,73.1
10,20,83.6
10,21,80.6
10,22,79.0
11,-22,73.5
11,-21,81.3
11,-20,79.4
11,-19,76.3
11,-18,74.8
11,-17,72.0
11,-16,67.2
11,-15,65.0
11,-14,80.7
11,-13,81.0
11,-12,78.1
11,-11,75.6
11,-10,80.2
11,-9,76.2
11,-8,74.1
11,-7,72.1
11,-6,82.6
11,-5,87.8
11,-4,84.5
11,-3,81.0
11,-2,78.5
11,-1,77.4
11,0,33.8
11,1,34.6
11,2,36.0
11,3,37.5
11,4,39.0
11,5,44.9
11,6,62.4
11,7,59.6
11,8,289
11,9,121
11,10,89.6
11,11,83.4
11,12,79.8
11,13,76.8
11,14,74.7
11,15,72.9
11,16,69.5
11,17,66.8
11,18,72.0
11,19,81.8
11,20,80.1
11,21,77.7
11,22,74.3
12,-22,83.6
12,-21,82.1
12,-20,77.9
12,-19,76.2
12,-18,73.0
12,-17,69.3
12,-16,68.1
12,-15,82.6
12,-14,82.2
12,-13,79.5
12,-12,77.5
12,-11,81.9
12,-10,78.7
12,-9,75.7
12,-8,73.4
12,-7,83.3
12,-6,88.5
12,-5,86.0
12,-4,82.1
12,-3,79.6
12,-2,78.2
12,-1,76.8
12,0,33.3
12,1,34.3
12,2,35.2
12,3,37.0
12,4,43.3
12,5,64.4
12,6,295
12,7,244
12,8,98.1
12,9,87.1
12,10,84.2
12,11,81.7
12,12,80.4
12,13,76.4
12,14,73.6
12,15,71.8
12,16,68.8
12,17,74.7
12,18,84.2
12,19,81.3
12,20,79.8
12,21,76.5
12,22,74.8
13,-22,85.8
13,-21,82.9
13,-20,80.7
13,-19,78.0
13,-18,73.5
13,-17,71.4
13,-16,86.8
13,-15,87.0
13,-14,85.0
13,-13,82.6
13,-12,84.8
13,-11,83.2
13,-10,80.9
13,-9,77.4
13,-8,89.1
13,-7,93.4
13,-6,91.0
13,-5,87.2
13,-4,82.6
13,-3,81.0
13,-2,78.5
13,-1,77.8
13,0,34.9
13,1,35.7
13,2,37.1
13,3,43.3
13,4,68.1
13,5,330
13,6,159
13,7,87.4
13,8,86.5
13,9,89.1
13,10,86.1
13,11,84.0
13,12,81.0
13,13,78.7
13,14,76.4
13,15,74.1
13,16,78.7
13,17,89.0
13,18,85.5
13,19,83.5
13,20,80.9
13,21,79.5
13,22,76.0
14,-22,85.3
14,-21,81.7
14,-20,80.6
14,-19,75.1
14,-18,72.8
14,-17,88.5
