len(N),E,ns
9,5,52.3
9,6,54.8
9,7,63.6
9,8,99.0
9,9,102
9,10,132
9,11,119
9,12,110
9,13,108
9,14,107
9,15,109
9,16,107
9,17,107
9,18,108
9,19,108
9,20,107
9,21,109
9,22,108
10,-22,100
10,-21,101
10,-20,99.8
10,-19,101
10,-18,99.9
10,-17,99.5
10,-16,99.9
10,-15,99.9
10,-14,99.2
10,-13,99.7
10,-12,99.8
10,-11,99.1
10,-10,99.4
10,-9,100
10,-8,99.4
10,-7,99.2
10,-6,99.5
10,-5,99.1
10,-4,99.9
10,-3,100
10,-2,99.3
10,-1,101
10,0,49.8
10,1,53.5
10,2,55.8
10,3,57.7
10,4,60.1
10,5,62.5
10,6,70.9
10,7,103
10,8,108
10,9,129
10,10,114
10,11,109
10,12,109
10,13,109
10,14,109
10,15,109
10,16,109
10,17,109
10,18,109
10,19,110
10,20,109
10,21,110
10,22,110
11,-22,94.1
11,-21,94.9
11,-20,94.1
11,-19,92.7
11,-18,95.1
11,-17,93.6
11,-16,92.7
11,-15,95.0
11,-14,94.0
11,-13,92.9
11,-12,94.9
11,-11,94.0
11,-10,93.5
11,-9,95.7
11,-8,94.2
11,-7,93.2
11,-6,95.8
11,-5,94.6
11,-4,94.1
11,-3,96.1
11,-2,94.9
11,-1,95.8
11,0,47.0
11,1,49.4
11,2,50.8
11,3,52.6
11,4,54.5
11,5,62.3
11,6,94.4
11,7,99.1
11,8,108
11,9,104
11,10,105
11,11,103
11,12,102
11,13,104
11,14,104
11,15,103
11,16,105
11,17,103
11,18,103
11,19,105
11,20,104
11,21,103
11,22,105
12,-22,92.9
12,-21,91.8
12,-20,89.8
12,-19,91.6
12,-18,90.2
12,-17,89.6
12,-16,91.3
12,-15,91.3
12,-14,89.5
12,-13,91.6
12,-12,90.6
12,-11,90.8
12,-10,92.5
12,-9,91.4
12,-8,90.7
12,-7,92.6
12,-6,91.5
12,-5,91.0
12,-4,93.4
12,-3,92.1
12,-2,91.5
12,-1,96.0
12,0,47.8
12,1,50.7
12,2,52.5
12,3,54.1
12,4,61.6
12,5,91.0
12,6,96.8
12,7,102
12,8,101
12,9,102
12,10,101
12,11,100.0
12,12,102
12,13,101
12,14,99.6
12,15,102
12,16,100
12,17,99.9
12,18,102
12,19,100
12,20,100
12,21,102
12,22,101
13,-22,88.7
13,-21,87.4
13,-20,89.0
13,-19,88.0
13,-18,87.7
13,-17,88.8
13,-16,88.7
13,-15,87.6
13,-14,89.2
13,-13,87.9
13,-12,88.2
13,-11,90.2
13,-10,89.1
13,-9,88.2
13,-8,89.8
13,-7,88.9
13,-6,88.0
13,-5,90.6
13,-4,89.3
13,-3,88.8
13,-2,91.4
13,-1,90.8
13,0,48.6
13,1,51.0
13,2,52.5
13,3,59.2
13,4,87.0
13,5,97.0
13,6,99.8
13,7,97.6
13,8,98.9
13,9,97.9
13,10,96.3
13,11,99.1
13,12,97.9
13,13,96.9
13,14,98.7
13,15,98.3
13,16,96.8
13,17,99.7
13,18,98.0
13,19,97.6
13,20,99.4
13,21,97.7
13,22,96.9
14,-22,85.0
14,-21,86.2
14,-20,85.9
14,-19,84.8
14,-18,86.7
