len(N),E,ns
8,-9,85.5
8,-8,80.4
8,-7,85.4
8,-6,89.1
8,-5,88.9
8,-4,85.0
8,-3,85.4
8,-2,83.7
8,-1,84.0
8,0,39.6
8,1,40.8
8,2,42.2
8,3,44.3
8,4,46.4
8,5,49.2
8,6,51.3
8,7,55.3
8,8,59.5
8,9,70.8
8,10,69.4
8,11,71.5
8,12,81.3
8,13,82.3
8,14,82.2
8,15,79.8
8,16,82.1
8,17,80.7
8,18,80.4
8,19,82.2
8,20,81.0
8,21,80.1
8,22,82.3
9,-22,80.4
9,-21,79.2
9,-20,78.2
9,-19,80.4
9,-18,79.2
9,-17,82.2
9,-16,81.4
9,-15,80.1
9,-14,77.9
9,-13,79.9
9,-12,79.3
9,-11,79.6
9,-10,85.9
9,-9,80.8
9,-8,87.8
9,-7,92.3
9,-6,91.0
9,-5,84.1
9,-4,85.9
9,-3,87.2
9,-2,85.6
9,-1,89.8
9,0,41.0
9,1,42.4
9,2,44.2
9,3,46.5
9,4,49.4
9,5,52.9
9,6,55.0
9,7,60.8
9,8,70.0
9,9,70.6
9,10,74.0
9,11,81.6
9,12,82.6
9,13,81.5
9,14,80.6
9,15,82.3
9,16,81.6
9,17,80.4
9,18,82.7
9,19,81.3
9,20,81.2
9,21,82.8
9,22,81.6
10,-22,79.2
10,-21,78.8
10,-20,78.9
10,-19,79.1
10,-18,83.0
10,-17,80.1
10,-16,80.5
10,-15,78.7
10,-14,79.2
10,-13,78.7
10,-12,80.9
10,-11,84.9
10,-10,80.9
10,-9,86.7
10,-8,88.8
10,-7,89.2
10,-6,85.7
10,-5,85.1
10,-4,85.2
10,-3,84.2
10,-2,84.5
10,-1,85.2
10,0,48.6
10,1,50.4
10,2,52.7
10,3,55.8
10,4,57.8
10,5,61.1
10,6,65.9
10,7,76.4
10,8,77.2
10,9,82.1
10,10,82.4
10,11,80.3
10,12,82.1
10,13,82.2
10,14,80.9
10,15,81.0
10,16,81.5
10,17,80.6
10,18,81.0
10,19,82.3
10,20,80.7
10,21,81.3
10,22,81.5
11,-22,77.4
11,-21,78.8
11,-20,78.3
11,-19,82.4
11,-18,80.7
11,-17,80.2
11,-16,77.1
11,-15,79.5
11,-14,78.3
11,-13,79.7
11,-12,86.1
11,-11,80.9
11,-10,86.7
11,-9,90.8
11,-8,91.9
11,-7,84.7
11,-6,85.6
11,-5,85.8
11,-4,84.6
11,-3,85.1
11,-2,84.9
11,-1,85.8
11,0,44.1
11,1,45.1
11,2,46.7
11,3,48.9
11,4,51.4
11,5,56.9
11,6,71.4
11,7,71.5
11,8,81.9
11,9,79.4
11,10,80.5
11,11,80.4
11,12,79.6
11,13,82.0
11,14,80.4
11,15,79.9
11,16,81.9
11,17,80.5
11,18,80.0
11,19,81.4
11,20,80.3
11,21,80.0
11,22,81.7
12,-22,77.1
12,-21,75.7
12,-20,79.8
12,-19,89.4
12,-18,77.2
12,-17,75.2
12,-16,77.3
12,-15,76.4
12,-14,77.7
12,-13,84.5
12,-12,79.4
12,-11,84.2
12,-10,88.6
12,-9,87.4
12,-8,82.1
12,-7,83.9
12,-6,83.2
12,-5,82.4
12,-4,83.6
12,-3,83.4
12,-2,82.6
12,-1,84.9
12,0,43.9
12,1,45.3
12,2,46.8
12,3,48.9
12,4,54.6
12,5,70.9
12,6,75.1
12,7,81.0
12,8,77.0
12,9,78.5
12,10,78.3
12,11,77.8
12,12,79.3
12,13,78.3
12,14,77.4
12,15,79.4
12,16,78.8
12,17,78.4
12,18,79.4
12,19,78.5
12,20,78.1
12,21,80.0
12,22,78.7
13,-22,78.2
13,-21,81.2
13,-20,80.7
13,-19,79.2
13,-18,76.4
13,-17,77.8
13,-16,77.8
13,-15,79.0
13,-14,85.5
13,-13,80.5
13,-12,84.8
13,-11,89.9
13,-10,89.3
13,-9,82.9
13,-8,85.7
13,-7,83.0
13,-6,83.7
13,-5,85.3
13,-4,84.5
13,-3,83.0
13,-2,83.5
13,-1,83.8
13,0,46.3
