len(N),E,ns
1,-22,55.7
1,-21,63.8
1,-20,50.3
1,-19,52.8
1,-18,55.8
1,-17,64.7
1,-16,50.1
1,-15,53.0
1,-14,55.7
1,-13,61.9
1,-12,50.1
1,-11,52.6
1,-10,55.8
1,-9,62.6
1,-8,49.5
1,-7,52.6
1,-6,54.2
1,-5,61.2
1,-4,48.2
1,-3,51.1
1,-2,54.2
1,-1,59.7
1,0,48.5
1,1,51.9
1,2,54.5
1,3,60.6
1,4,48.5
1,5,51.8
1,6,54.5
1,7,61.1
1,8,48.5
1,9,51.6
1,10,54.6
1,11,62.3
1,12,49.4
1,13,51.6
1,14,54.6
1,15,60.0
1,16,48.6
1,17,51.5
1,18,54.6
1,19,59.7
1,20,48.8
1,21,52.7
1,22,58.7
2,-22,60.1
2,-21,47.8
2,-20,50.9
2,-19,53.7
2,-18,61.0
2,-17,47.9
2,-16,51.4
2,-15,53.4
2,-14,57.3
2,-13,47.8
2,-12,51.2
2,-11,53.8
2,-10,59.6
2,-9,48.0
2,-8,50.2
2,-7,52.3
2,-6,59.4
2,-5,46.0
2,-4,49.1
2,-3,51.9
2,-2,57.5
2,-1,50.6
2,0,51.6
2,1,51.4
2,2,53.0
2,3,45.2
2,4,48.5
2,5,51.6
2,6,59.5
2,7,45.4
2,8,48.4
2,9,51.5
2,10,58.7
2,11,45.1
2,12,48.4
2,13,51.4
2,14,55.5
2,15,45.1
2,16,48.3
2,17,51.6
2,18,57.7
2,19,45.3
2,20,51.5
2,21,59.4
2,22,61.4
3,-22,45.1
3,-21,49.1
3,-20,51.2
3,-19,59.0
3,-18,45.3
3,-17,48.6
3,-16,51.1
3,-15,55.8
3,-14,48.0
3,-13,48.8
3,-12,51.6
3,-11,57.1
3,-10,44.4
3,-9,47.6
3,-8,49.2
3,-7,57.0
3,-6,42.9
3,-5,46.0
3,-4,49.0
3,-3,56.9
3,-2,49.4
3,-1,50.6
3,0,48.5
3,1,51.7
3,2,42.5
3,3,46.3
3,4,48.7
3,5,55.8
3,6,42.4
3,7,45.9
3,8,48.6
3,9,56.3
3,10,42.5
3,11,46.2
3,12,48.5
3,13,53.7
3,14,44.6
3,15,50.4
3,16,48.8
3,17,55.0
3,18,42.3
3,19,54.4
3,20,57.5
3,21,59.6
3,22,45.3
4,-22,45.4
4,-21,49.4
4,-20,55.3
4,-19,41.6
4,-18,45.1
4,-17,48.7
4,-16,50.9
4,-15,41.4
4,-14,45.8
4,-13,48.8
4,-12,54.2
4,-11,40.3
4,-10,44.4
4,-9,45.8
4,-8,53.1
4,-7,39.0
4,-6,42.9
4,-5,46.1
4,-4,49.9
4,-3,44.6
4,-2,48.1
4,-1,51.8
4,0,45.8
4,1,38.6
4,2,42.5
4,3,45.4
4,4,52.6
4,5,42.0
4,6,42.5
4,7,45.5
4,8,52.4
4,9,38.6
4,10,42.5
4,11,45.6
4,12,47.8
4,13,38.6
4,14,42.6
4,15,45.6
4,16,51.8
4,17,38.7
4,18,53.0
4,19,50.1
4,20,56.5
4,21,41.5
4,22,45.3
5,-22,46.1
5,-21,54.3
5,-20,38.3
5,-19,42.3
5,-18,46.9
5,-17,51.9
5,-16,38.4
5,-15,42.5
5,-14,46.3
5,-13,51.9
5,-12,38.1
5,-11,41.1
5,-10,44.0
5,-9,52.1
5,-8,35.9
5,-7,40.2
5,-6,44.0
5,-5,50.4
5,-4,43.1
5,-3,45.3
5,-2,49.3
5,-1,54.4
5,0,35.8
5,1,39.4
5,2,43.3
5,3,51.1
5,4,35.6
5,5,39.4
5,6,43.2
5,7,51.4
5,8,35.6
5,9,39.4
5,10,43.1
5,11,49.1
5,12,35.7
5,13,39.5
5,14,43.4
5,15,50.2
5,16,43.4
5,17,47.4
5,18,46.8
5,19,54.3
5,20,38.6
5,21,42.4
5,22,45.9
6,-22,53.0
6,-21,43.5
6,-20,38.6
6,-19,42.4
6,-18,50.6
6,-17,43.3
6,-16,38.6
6,-15,42.5
6,-14,49.8
6,-13,41.9
6,-12,37.6
6,-11,40.4
6,-10,50.7
6,-9,40.6
6,-8,36.6
6,-7,40.3
6,-6,49.7
6,-5,46.4
6,-4,41.2
6,-3,42.9
6,-2,52.2
6,-1,48.0
6,0,35.7
6,1,40.0
6,2,49.1
6,3,40.2
6,4,35.7
6,5,40.0
6,6,50.1
6,7,40.1
6,8,35.9
6,9,40.0
6,10,47.9
6,11,40.0
6,12,35.8
6,13,40.0
6,14,50.3
6,15,48.6
6,16,41.5
6,17,43.0
6,18,52.9
6,19,43.2
6,20,38.6
6,21,42.4
6,22,51.9
7,-22,43.8
7,-21,43.4
7,-20,39.6
7,-19,51.5
7,-18,43.7
7,-17,43.4
7,-16,39.7
7,-15,47.7
7,-14,42.2
7,-13,43.3
7,-12,37.3
7,-11,49.1
7,-10,40.7
7,-9,41.4
7,-8,37.3
7,-7,49.6
7,-6,47.1
7,-5,46.9
7,-4,43.5
7,-3,53.1
7,-2,46.6
7,-1,46.7
7,0,36.9
7,1,48.1
7,2,40.5
7,3,40.9
7,4,37.0
7,5,50.3
7,6,40.5
7,7,40.5
7,8,36.9
7,9,48.8
7,10,40.6
7,11,40.6
7,12,36.8
7,13,47.7
7,14,46.0
7,15,45.6
7,16,39.9
7,17,52.1
7,18,43.6
7,19,43.4
7,20,39.7
7,21,52.4
7,22,44.0
8,-22,44.0
8,-21,43.9
8,-20,50.6
8,-19,44.5
8,-18,43.8
8,-17,43.8
8,-16,44.7
8,-15,43.1
8,-14,42.1
8,-13,41.3
8,-12,47.4
8,-11,41.8
8,-10,41.1
8,-9,41.4
8,-8,49.5
8,-7,46.7
8,-6,44.8
8,-5,46.7
8,-4,52.0
8,-3,48.6
8,-2,46.1
8,-1,47.2
8,0,45.3
8,1,41.1
8,2,40.3
8,3,41.2
8,4,48.4
8,5,41.2
8,6,40.5
8,7,41.1
8,8,47.7
8,9,41.2
8,10,40.8
8,11,40.9
8,12,55.2
8,13,44.4
8,14,44.4
8,15,44.1
8,16,49.9
8,17,44.4
8,18,43.7
8,19,44.0
8,20,51.3
8,21,44.5
8,22,43.6
9,-22,43.7
9,-21,53.7
9,-20,43.1
9,-19,43.8
9,-18,43.7
9,-17,49.0
9,-16,42.9
9,-15,43.2
9,-14,41.5
9,-13,51.4
9,-12,41.4
9,-11,42.2
9,-10,41.5
9,-9,52.4
9,-8,46.0
9,-7,47.3
9,-6,46.6
9,-5,55.7
9,-4,47.1
9,-3,48.0
9,-2,46.6
9,-1,54.3
9,0,41.8
9,1,42.7
9,2,43.1
9,3,53.4
9,4,41.8
9,5,42.6
9,6,43.2
9,7,52.7
9,8,42.0
9,9,42.8
9,10,44.2
9,11,57.2
9,12,42.9
9,13,44.1
9,14,43.7
9,15,53.3
9,16,43.1
9,17,43.9
9,18,44.0
9,19,54.2
9,20,43.2
9,21,44.0
9,22,43.7
10,-22,54.2
10,-21,52.7
10,-20,48.6
10,-19,49.4
10,-18,54.1
10,-17,52.6
10,-16,49.6
10,-15,47.7
10,-14,53.7
10,-13,50.5
10,-12,46.9
10,-11,47.7
10,-10,52.4
10,-9,55.7
10,-8,52.5
10,-7,51.9
10,-6,57.2
10,-5,56.1
10,-4,52.3
10,-3,52.4
10,-2,59.3
10,-1,55.3
10,0,46.6
10,1,47.5
10,2,53.3
10,3,50.5
10,4,46.8
10,5,47.7
10,6,51.0
10,7,50.8
10,8,46.7
10,9,54.7
10,10,56.6
10,11,50.9
10,12,49.2
10,13,49.8
10,14,56.4
10,15,53.0
10,16,48.5
10,17,49.4
10,18,55.6
10,19,53.1
10,20,48.6
10,21,49.8
10,22,53.2
11,-22,47.5
11,-21,48.8
11,-20,43.6
11,-19,50.3
11,-18,47.1
11,-17,47.6
11,-16,40.7
11,-15,50.8
11,-14,43.9
11,-13,45.0
11,-12,40.4
11,-11,52.0
11,-10,50.9
11,-9,51.1
11,-8,44.9
11,-7,56.5
11,-6,50.2
11,-5,51.4
11,-4,45.9
11,-3,53.5
11,-2,51.3
11,-1,50.1
11,0,41.0
11,1,52.2
11,2,44.0
11,3,45.0
11,4,40.6
11,5,51.7
11,6,44.2
11,7,45.3
11,8,48.1
11,9,50.1
11,10,44.4
11,11,48.8
11,12,43.6
11,13,54.1
11,14,47.5
11,15,48.8
11,16,43.5
11,17,55.1
11,18,47.7
11,19,48.5
11,20,43.7
11,21,49.0
11,22,47.5
12,-22,47.3
12,-21,47.8
12,-20,49.6
12,-19,47.7
12,-18,47.1
12,-17,45.3
12,-16,50.1
12,-15,44.5
12,-14,44.9
12,-13,45.4
12,-12,50.7
12,-11,52.0
12,-10,48.6
12,-9,49.7
12,-8,55.4
12,-7,50.5
12,-6,51.4
12,-5,52.0
12,-4,54.1
12,-3,52.2
12,-2,48.5
12,-1,51.5
12,0,51.3
12,1,44.7
12,2,43.1
12,3,44.2
12,4,50.1
12,5,44.8
12,6,49.0
12,7,48.9
12,8,48.3
12,9,44.2
12,10,47.5
12,11,47.8
12,12,54.5
12,13,48.0
12,14,47.3
12,15,48.0
12,16,54.4
12,17,48.1
12,18,47.5
12,19,47.8
12,20,48.7
12,21,48.2
12,22,47.6
13,-22,47.8
13,-21,53.3
13,-20,46.2
13,-19,48.7
13,-18,45.4
13,-17,54.3
13,-16,44.5
13,-15,46.6
13,-14,45.6
13,-13,54.8
13,-12,49.6
13,-11,51.7
13,-10,50.1
13,-9,58.8
13,-8,49.6
13,-7,51.1
13,-6,50.5
13,-5,58.0
13,-4,50.4
13,-3,50.6
13,-2,51.7
13,-1,60.0
13,0,43.7
13,1,44.9
13,2,44.5
13,3,53.8
13,4,43.7
13,5,51.8
13,6,46.3
13,7,51.3
13,8,44.1
13,9,48.5
13,10,47.9
13,11,56.4
13,12,46.8
13,13,48.2
13,14,47.7
13,15,57.3
13,16,46.6
13,17,48.4
13,18,47.9
13,19,52.2
13,20,46.6
13,21,48.3
13,22,47.9
14,-22,52.5
14,-21,51.5
14,-20,45.9
14,-19,45.7
14,-18,54.5
14,-17,49.1
