len(N),E,ns
8,-9,66.0
8,-8,64.9
8,-7,69.2
8,-6,72.0
8,-5,71.0
8,-4,70.0
8,-3,72.6
8,-2,71.4
8,-1,71.6
8,0,28.9
8,1,30.6
8,2,32.7
8,3,34.7
8,4,37.9
8,5,40.1
8,6,43.3
8,7,46.0
8,8,51.1
8,9,58.7
8,10,56.9
8,11,60.0
8,12,69.2
8,13,68.3
8,14,69.0
8,15,66.8
8,16,69.3
8,17,68.3
8,18,67.1
8,19,69.2
8,20,68.2
8,21,67.0
8,22,69.5
9,-22,67.6
9,-21,66.7
9,-20,66.0
9,-19,67.4
9,-18,66.4
9,-17,68.2
9,-16,68.3
9,-15,67.2
9,-14,65.4
9,-13,67.4
9,-12,66.0
9,-11,65.3
9,-10,67.5
9,-9,66.3
9,-8,70.1
9,-7,71.8
9,-6,70.9
9,-5,69.7
9,-4,72.5
9,-3,70.9
9,-2,71.9
9,-1,73.3
9,0,29.8
9,1,31.9
9,2,33.0
9,3,36.5
9,4,38.2
9,5,41.4
9,6,43.9
9,7,49.4
9,8,59.3
9,9,59.3
9,10,60.8
9,11,69.4
9,12,68.5
9,13,68.3
9,14,67.4
9,15,69.3
9,16,68.3
9,17,67.3
9,18,70.0
9,19,68.3
9,20,67.7
9,21,69.7
9,22,69.0
10,-22,67.4
10,-21,69.1
10,-20,67.1
10,-19,66.9
10,-18,69.5
10,-17,67.2
10,-16,67.0
10,-15,64.7
10,-14,65.5
10,-13,65.5
10,-12,64.9
10,-11,65.5
10,-10,65.3
10,-9,69.7
10,-8,71.3
10,-7,71.6
10,-6,71.5
10,-5,71.1
10,-4,71.1
10,-3,71.7
10,-2,71.9
10,-1,72.1
10,0,33.3
10,1,36.1
10,2,37.8
10,3,39.8
10,4,42.7
10,5,45.3
10,6,51.4
10,7,60.5
10,8,60.8
10,9,68.3
10,10,67.2
10,11,66.7
10,12,69.2
10,13,68.9
10,14,69.1
10,15,69.3
10,16,68.5
10,17,69.5
10,18,69.9
10,19,68.9
10,20,69.1
10,21,69.1
10,22,69.0
11,-22,64.1
11,-21,66.2
11,-20,65.2
11,-19,67.1
11,-18,67.5
11,-17,66.1
11,-16,63.7
11,-15,64.9
11,-14,64.0
11,-13,63.4
11,-12,65.6
11,-11,63.5
11,-10,68.6
11,-9,72.7
11,-8,71.2
11,-7,70.3
11,-6,72.0
11,-5,70.8
11,-4,70.0
11,-3,73.7
11,-2,71.5
11,-1,71.6
11,0,29.5
11,1,30.9
11,2,33.4
11,3,35.4
11,4,38.9
11,5,43.6
11,6,55.5
11,7,59.6
11,8,68.3
11,9,64.5
11,10,65.4
11,11,67.1
11,12,66.3
11,13,67.6
11,14,77.5
11,15,66.3
11,16,68.7
11,17,67.3
11,18,66.2
11,19,68.2
11,20,67.1
11,21,66.2
11,22,69.0
12,-22,65.1
12,-21,63.0
12,-20,66.4
12,-19,65.4
12,-18,64.3
12,-17,61.5
12,-16,63.6
12,-15,62.1
12,-14,61.2
12,-13,63.5
12,-12,63.1
12,-11,68.2
12,-10,70.3
12,-9,70.0
12,-8,68.1
12,-7,72.4
12,-6,68.8
12,-5,70.2
12,-4,70.2
12,-3,68.2
12,-2,68.1
12,-1,72.1
12,0,29.2
12,1,31.1
12,2,33.0
12,3,36.4
12,4,41.6
12,5,55.5
12,6,65.2
12,7,68.2
12,8,63.0
12,9,63.8
