len(N),E,ns
8,-7,67.5
8,-6,64.2
8,-5,61.6
8,-4,59.8
8,-3,75.9
8,-2,75.9
8,-1,73.9
8,0,33.2
8,1,35.0
8,2,36.9
8,3,39.1
8,4,41.0
8,5,43.6
8,6,46.5
8,7,50.5
8,8,54.8
8,9,52.6
8,10,50.1
8,11,47.3
8,12,218
8,13,138
8,14,82.9
8,15,70.7
8,16,67.6
8,17,64.9
8,18,62.5
8,19,58.8
8,20,56.9
8,21,67.0
8,22,72.8
9,-22,63.1
9,-21,59.6
9,-20,67.6
9,-19,76.1
9,-18,73.3
9,-17,69.6
9,-16,66.9
9,-15,64.4
9,-14,60.7
9,-13,57.4
9,-12,74.5
9,-11,74.4
9,-10,71.1
9,-9,69.3
9,-8,71.4
9,-7,68.3
9,-6,65.8
9,-5,62.8
9,-4,75.5
9,-3,79.5
9,-2,79.0
9,-1,75.6
9,0,33.6
9,1,36.1
9,2,37.9
9,3,39.9
9,4,42.3
9,5,44.9
9,6,47.9
9,7,53.2
9,8,57.7
9,9,54.0
9,10,78.9
9,11,198
9,12,101
9,13,81.2
9,14,73.8
9,15,70.4
9,16,67.9
9,17,65.9
9,18,62.3
9,19,59.8
9,20,65.6
9,21,76.0
9,22,73.2
10,-22,66.7
10,-21,74.2
10,-20,83.2
10,-19,80.6
10,-18,76.9
10,-17,73.9
10,-16,71.3
10,-15,67.0
10,-14,64.1
10,-13,76.1
10,-12,79.9
10,-11,77.9
10,-10,74.7
10,-9,80.1
10,-8,75.4
10,-7,72.5
10,-6,69.7
10,-5,79.3
10,-4,86.9
10,-3,83.4
10,-2,81.3
10,-1,78.2
10,0,37.9
10,1,40.5
10,2,42.4
10,3,44.5
10,4,47.1
10,5,50.0
10,6,56.3
10,7,63.1
10,8,60.2
10,9,266
10,10,159
10,11,93.0
10,12,85.2
10,13,80.3
10,14,77.6
10,15,74.6
10,16,72.0
10,17,69.7
10,18,66.9
10,19,71.6
10,20,83.1
10,21,80.5
10,22,78.1
11,-22,72.0
11,-21,80.6
11,-20,78.7
11,-19,75.3
11,-18,73.0
11,-17,70.2
11,-16,65.5
11,-15,63.2
11,-14,78.2
11,-13,80.0
11,-12,76.6
11,-11,73.7
11,-10,78.0
11,-9,75.5
11,-8,71.6
11,-7,70.3
11,-6,79.5
11,-5,85.1
11,-4,83.1
11,-3,80.4
11,-2,77.0
11,-1,74.6
11,0,33.2
11,1,35.2
11,2,37.4
11,3,39.4
11,4,42.1
11,5,48.1
11,6,61.6
11,7,58.7
11,8,244
11,9,108
11,10,84.2
11,11,81.9
11,12,78.2
11,13,75.8
11,14,74.2
11,15,70.7
11,16,68.1
11,17,65.9
11,18,70.2
11,19,81.2
11,20,78.7
11,21,75.9
11,22,72.9
12,-22,83.7
12,-21,82.5
12,-20,77.4
12,-19,75.1
12,-18,72.5
12,-17,68.1
12,-16,64.7
12,-15,80.1
12,-14,81.1
12,-13,78.8
12,-12,76.5
12,-11,80.2
12,-10,76.8
12,-9,76.2
12,-8,73.4
12,-7,83.8
12,-6,87.5
12,-5,84.7
12,-4,82.2
12,-3,78.3
12,-2,77.1
12,-1,76.1
12,0,33.2
12,1,35.3
12,2,37.0
12,3,39.2
12,4,45.6
12,5,63.5
12,6,255
12,7,210
12,8,88.8
12,9,83.3
12,10,84.6
12,11,82.0
12,12,78.7
12,13,75.9
12,14,72.8
12,15,70.1
12,16,67.4
12,17,73.5
12,18,84.2
12,19,81.9
12,20,78.8
12,21,75.9
12,22,75.6
13,-22,84.1
13,-21,81.3
13,-20,78.3
13,-19,75.9
13,-18,71.1
13,-17,68.8
13,-16,83.6
13,-15,85.8
13,-14,83.2
13,-13,80.3
13,-12,82.6
13,-11,81.2
13,-10,79.3
13,-9,74.0
13,-8,85.0
13,-7,90.4
13,-6,87.3
13,-5,85.8
13,-4,82.7
13,-3,80.9
13,-2,77.2
13,-1,76.1
13,0,34.4
13,1,36.4
13,2,38.0
13,3,44.5
13,4,67.2
13,5,284
13,6,139
13,7,80.5
13,8,82.2
13,9,87.4
13,10,85.0
13,11,82.0
13,12,78.8
13,13,76.7
13,14,74.0
13,15,71.2
13,16,75.6
13,17,87.2
13,18,84.2
13,19,81.6
13,20,78.9
13,21,76.8
13,22,73.3
14,-22,83.6
14,-21,80.3
14,-20,78.2
14,-19,73.7
14,-18,70.9
14,-17,86.7
14,-16,88.3
14,-15,84.7
14,-14,82.5
14,-13,85.3
14,-12,81.8
14,-11,81.0
14,-10,76.9
14,-9,88.9
14,-8,94.0
14,-7,88.9
14,-6,87.3
14,-5,85.3
14,-4,87.4
14,-3,77.8
14,-2,76.4
14,-1,93.0
14,0,33.7
14,1,35.7
14,2,42.5
14,3,207
14,4,233
14,5,110
14,6,76.6
14,7,83.4
14,8,89.9
14,9,86.5
14,10,84.5
14,11,82.0
14,12,78.7
14,13,76.1
14,14,73.2
14,15,78.8
14,16,89.1
14,17,86.8
14,18,84.2
14,19,81.6
14,20,78.6
14,21,76.1
14,22,73.5
15,-22,84.4
15,-21,81.8
15,-20,77.3
15,-19,75.2
15,-18,89.7
15,-17,90.5
15,-16,88.2
15,-15,85.8
15,-14,87.8
15,-13,86.5
15,-12,87.8
15,-11,80.7
15,-10,93.0
15,-9,97.1
15,-8,93.1
15,-7,89.8
15,-6,89.3
15,-5,87.9
15,-4,84.9
15,-3,80.8
15,-2,97.2
15,-1,98.4
15,0,34.2
15,1,42.6
15,2,325
15,3,178
15,4,96.3
15,5,76.1
15,6,86.8
15,7,93.1
15,8,90.2
15,9,87.7
15,10,84.8
15,11,81.9
15,12,79.8
15,13,76.8
15,14,81.2
15,15,93.2
15,16,90.5
15,17,87.6
15,18,84.5
15,19,82.0
15,20,79.1
15,21,77.1
15,22,92.1
16,-22,87.1
16,-21,85.0
16,-20,81.7
16,-19,94.7
16,-18,99.0
16,-17,96.6
16,-16,91.0
16,-15,97.4
16,-14,93.5
16,-13,89.2
16,-12,86.5
16,-11,98.0
16,-10,101
16,-9,101
16,-8,99.5
16,-7,96.7
16,-6,90.5
16,-5,90.9
16,-4,87.0
16,-3,102
16,-2,126
16,-1,265
16,0,40.7
16,1,288
16,2,131
16,3,92.0
16,4,82.8
16,5,92.7
16,6,97.9
16,7,97.3
16,8,93.9
16,9,90.4
16,10,88.8
16,11,85.5
16,12,81.6
16,13,84.9
16,14,99.3
16,15,96.6
16,16,92.5
16,17,91.6
16,18,86.7
16,19,84.5
16,20,82.4
16,21,95.5
16,22,97.8
17,-22,91.9
17,-21,88.9
17,-20,100
17,-19,106
17,-18,105
17,-17,98.6
17,-16,106
17,-15,102
17,-14,95.4
17,-13,94.5
17,-12,105
17,-11,110
17,-10,107
17,-9,107
17,-8,102
17,-7,98.6
17,-6,98.1
17,-5,93.5
17,-4,109
17,-3,139
17,-2,224
17,-1,113
17,0,338
17,1,126
17,2,95.8
17,3,92.0
17,4,99.9
17,5,105
17,6,105
17,7,102
17,8,97.2
17,9,99.7
17,10,95.6
17,11,88.3
17,12,98.6
17,13,108
17,14,103
17,15,102
17,16,99.7
17,17,94.0
17,18,92.3
17,19,93.4
17,20,100
17,21,107
17,22,108
18,-22,88.4
18,-21,98.9
18,-20,107
18,-19,103
18,-18,97.1
18,-17,106
18,-16,120
18,-15,96.4
18,-14,94.1
18,-13,108
18,-12,109
18,-11,110
18,-10,108
18,-9,102
18,-8,99.9
18,-7,97.5
18,-6,92.5
18,-5,106
18,-4,135
18,-3,228
18,-2,116
18,-1,327
18,0,136
18,1,94.4
18,2,91.0
18,3,101
18,4,105
18,5,107
18,6,102
18,7,98.2
18,8,97.6
18,9,93.9
18,10,88.1
18,11,96.8
18,12,107
18,13,102
18,14,103
18,15,99.3
18,16,93.1
18,17,93.6
18,18,91.5
18,19,101
18,20,107
18,21,108
18,22,102
