len(N),E,ns
8,-1,79.1
8,0,23.8
8,1,25.8
8,2,27.9
8,3,31.7
8,4,34.9
8,5,37.8
8,6,41.3
8,7,44.5
8,8,53.0
8,9,85.0
8,10,87.3
8,11,109
8,12,110
8,13,92.4
8,14,85.2
8,15,82.8
8,16,85.6
8,17,84.0
8,18,83.0
8,19,85.6
8,20,84.1
8,21,82.9
8,22,85.9
9,-22,73.0
9,-21,71.3
9,-20,71.0
9,-19,73.0
9,-18,71.5
9,-17,70.3
9,-16,72.8
9,-15,71.6
9,-14,70.0
9,-13,73.1
9,-12,71.9
9,-11,70.4
9,-10,73.2
9,-9,71.7
9,-8,72.3
9,-7,75.5
9,-6,73.7
9,-5,72.6
9,-4,76.0
9,-3,73.9
9,-2,73.1
9,-1,78.1
9,0,23.1
9,1,24.7
9,2,26.7
9,3,29.9
9,4,33.3
9,5,36.6
9,6,39.8
9,7,48.0
9,8,77.3
9,9,80.9
9,10,102
9,11,91.2
9,12,83.4
9,13,80.0
9,14,78.4
9,15,80.8
9,16,79.8
9,17,78.4
9,18,81.0
9,19,79.2
9,20,78.4
9,21,81.2
9,22,79.8
10,-22,73.3
10,-21,74.2
10,-20,73.3
10,-19,73.3
10,-18,73.3
10,-17,73.3
10,-16,73.0
10,-15,73.4
10,-14,73.6
10,-13,73.7
10,-12,73.2
10,-11,73.7
10,-10,73.5
10,-9,73.9
10,-8,74.3
10,-7,73.9
10,-6,73.7
10,-5,74.1
10,-4,74.4
10,-3,73.8
10,-2,74.2
10,-1,76.1
10,0,30.5
10,1,32.0
10,2,35.5
10,3,38.7
10,4,42.3
10,5,46.1
10,6,53.8
10,7,78.8
10,8,83.5
10,9,98.2
10,10,86.1
10,11,81.8
10,12,80.5
10,13,80.9
10,14,80.6
10,15,80.4
10,16,80.2
10,17,80.5
10,18,80.5
10,19,80.8
10,20,80.1
10,21,80.1
10,22,80.6
11,-22,66.8
11,-21,68.5
11,-20,67.0
11,-19,64.6
11,-18,68.0
11,-17,65.9
11,-16,65.0
11,-15,67.6
11,-14,66.3
11,-13,65.3
11,-12,68.0
11,-11,66.6
11,-10,65.8
11,-9,68.6
11,-8,66.8
11,-7,65.6
11,-6,68.3
11,-5,66.7
11,-4,65.4
11,-3,68.8
11,-2,67.3
11,-1,68.0
11,0,24.5
11,1,26.2
11,2,29.1
11,3,31.9
11,4,35.5
11,5,43.0
11,6,70.3
11,7,73.3
11,8,80.8
11,9,75.7
11,10,76.3
11,11,74.0
11,12,73.2
11,13,75.5
11,14,74.0
11,15,74.0
11,16,75.9
11,17,74.7
11,18,73.1
11,19,75.7
11,20,74.7
11,21,73.6
11,22,76.2
