len(N),E,ns
9,-17,83.2
9,-16,86.0
9,-15,84.5
9,-14,83.3
9,-13,86.5
9,-12,87.9
9,-11,85.1
9,-10,88.3
9,-9,88.8
9,-8,86.4
9,-7,92.0
9,-6,89.3
9,-5,87.0
9,-4,91.9
9,-3,90.5
9,-2,89.5
9,-1,95.6
9,0,31.6
9,1,39.7
9,2,40.7
9,3,43.4
9,4,45.6
9,5,47.2
9,6,46.6
9,7,55.3
9,8,109
9,9,117
9,10,123
9,11,105
9,12,98.7
9,13,96.3
9,14,93.7
9,15,96.2
9,16,94.9
9,17,93.5
9,18,96.3
9,19,94.7
9,20,93.4
9,21,96.6
9,22,94.8
10,-22,85.1
10,-21,85.5
10,-20,85.3
10,-19,84.3
10,-18,84.5
10,-17,85.0
10,-16,84.9
10,-15,84.5
10,-14,85.4
10,-13,88.1
10,-12,87.4
10,-11,89.4
10,-10,87.8
10,-9,89.1
10,-8,91.2
10,-7,89.4
10,-6,88.6
10,-5,89.8
10,-4,90.4
10,-3,89.9
10,-2,91.4
10,-1,91.3
10,0,37.5
10,1,46.1
10,2,47.7
10,3,50.1
10,4,51.8
10,5,54.1
10,6,59.8
10,7,105
10,8,115
10,9,116
10,10,101
10,11,97.8
10,12,95.9
10,13,95.7
10,14,96.0
10,15,95.5
10,16,95.6
10,17,96.2
10,18,95.6
10,19,95.2
10,20,96.0
10,21,95.5
10,22,95.1
11,-22,80.0
11,-21,80.8
11,-20,79.8
11,-19,78.5
11,-18,80.9
11,-17,79.5
11,-16,78.4
11,-15,81.5
11,-14,82.7
11,-13,81.2
11,-12,84.9
11,-11,84.1
11,-10,82.3
11,-9,85.2
11,-8,82.8
11,-7,82.8
11,-6,85.0
11,-5,82.8
11,-4,83.1
11,-3,86.2
11,-2,84.2
11,-1,83.8
11,0,32.6
11,1,40.6
11,2,42.2
11,3,44.5
11,4,46.8
11,5,55.3
11,6,97.6
11,7,103
11,8,102
11,9,91.8
11,10,93.2
11,11,91.7
11,12,89.6
11,13,92.1
